evaluation,model,n_runs,auroc_mean,auroc_sd,ece_mean,ece_sd
i.i.d. (NB11),GP,30,0.7339,0.0221,0.0162,0.0041
i.i.d. (NB11),APACHE-IV,30,0.7029,0.0155,0.0603,0.0069
i.i.d. (NB11),LR,30,0.7715,0.0141,0.2508,0.004
i.i.d. (NB11),LR_platt,30,0.7715,0.0141,0.0166,0.0053
i.i.d. (NB11),RF,30,0.7772,0.0138,0.1132,0.0039
i.i.d. (NB11),RF_platt,30,0.7772,0.0138,0.0179,0.0074
i.i.d. (NB11),XGB,30,0.7655,0.0123,0.111,0.0048
hospital-out (NB12),GP,30,0.7416,0.0139,0.0163,0.0059
hospital-out (NB12),APACHE-IV,30,0.7017,0.0159,0.0612,0.0099
hospital-out (NB12),LR,30,0.7672,0.0101,0.2516,0.0138
hospital-out (NB12),LR_platt,30,0.7672,0.0101,0.0177,0.0064
hospital-out (NB12),RF,30,0.7768,0.0111,0.1123,0.0139
hospital-out (NB12),RF_platt,30,0.7768,0.0111,0.0193,0.0062
hospital-out (NB12),XGB,30,0.7567,0.0097,0.1341,0.0145
