run,is_canonical,complexity_used,val_auroc,rank_val,loho_auroc_mean,rank_loho,loho_ece_overall,n_hospitals_evaluable
14,True,24,0.764,1,0.7300581950980422,19,0.00889605037892783,65
25,False,23,0.7592,2,0.730414938850055,17,0.010444761684134718,65
13,False,24,0.7585,3,0.7378223712436792,2,0.012397164505713348,65
12,False,24,0.7569,4,0.7332866632411632,7,0.003364456489695621,65
11,False,24,0.7563,5,0.7310721038143231,16,0.015070009159981222,65
0,False,24,0.7558,6,0.7270354060215329,27,0.011910022146020067,65
21,False,24,0.7556,7,0.7286346807353191,23,0.009181321365822824,65
29,False,24,0.7556,7,0.7299235489264226,20,0.011427843974333272,65
7,False,24,0.7547,9,0.7321821065243673,11,0.007564313956942044,65
3,False,24,0.7547,9,0.7302041175433592,18,0.009650635897925417,65
6,False,24,0.7541,11,0.7316924716722908,13,0.007551020133370825,65
23,False,24,0.7538,12,0.7312894351477235,15,0.0061186828859018,65
8,False,24,0.7537,13,0.7323073763479355,10,0.003838845961130637,65
4,False,23,0.7537,13,0.7288548124607207,22,0.005780581370559363,65
26,False,24,0.7533,15,0.7371606904275579,3,0.008861749415240887,65
28,False,24,0.7529,16,0.7316826129505694,14,0.005986897679500978,65
19,False,23,0.7527,17,0.7347738447965593,5,0.0092261165183659,65
24,False,24,0.7526,18,0.7333226341441292,6,0.007640172796779438,65
18,False,24,0.7525,19,0.7411961722051207,1,0.01096327853356084,65
20,False,24,0.7516,20,0.732035643678347,12,0.007373949555827541,65
17,False,24,0.7504,21,0.7323607140776972,9,0.009845031737332427,65
22,False,24,0.75,22,0.7356337410884815,4,0.0021316651601263293,65
1,False,23,0.7489,23,0.7278171153351138,26,0.007112368164783866,65
5,False,24,0.7476,24,0.7328067337460069,8,0.005991514178459933,65
27,False,24,0.7474,25,0.7297983452452537,21,0.008950167863784515,65
10,False,24,0.7469,26,0.7282771138780726,24,0.010254416827060102,65
16,False,23,0.7406,27,0.7253052950842973,28,0.005884308202871698,65
2,False,24,0.7355,28,0.7280732478822823,25,0.00337323462906273,65
9,False,24,0.7334,29,0.7234750786458705,29,0.012528452453618168,65
15,False,24,0.7312,30,0.714760214151581,30,0.009955090688149155,65
