run,is_canonical,val_auroc,rank_val,loho_auroc_mean,rank_loho,loho_ece_overall,rank_ece,composite_rank_value,composite_rank
12,False,0.7569,4,0.7332866632411632,7,0.0033644564896956,2,4.333333333333333,1
8,False,0.7537,13,0.7323073763479355,10,0.0038388459611306,4,9.0,2
22,False,0.75,22,0.7356337410884815,4,0.0021316651601263,1,9.0,2
7,False,0.7547,9,0.7321821065243673,11,0.007564313956942,13,11.0,4
26,False,0.7533,15,0.7371606904275579,3,0.0088617494152408,15,11.0,4
13,False,0.7585,3,0.7378223712436792,2,0.0123971645057133,28,11.0,4
14,True,0.764,1,0.7300581950980422,19,0.0088960503789278,16,12.0,7
6,False,0.7541,11,0.7316924716722908,13,0.0075510201333708,12,12.0,7
23,False,0.7538,12,0.7312894351477235,15,0.0061186828859018,9,12.0,7
28,False,0.7529,16,0.7316826129505694,14,0.0059868976795009,7,12.333333333333334,10
24,False,0.7526,18,0.7333226341441292,6,0.0076401727967794,14,12.666666666666666,11
4,False,0.7537,13,0.7288548124607207,22,0.0057805813705593,5,13.333333333333334,12
5,False,0.7476,24,0.7328067337460069,8,0.0059915141784599,8,13.333333333333334,12
19,False,0.7527,17,0.7347738447965593,5,0.0092261165183659,19,13.666666666666666,14
25,False,0.7592,2,0.730414938850055,17,0.0104447616841347,24,14.333333333333334,15
20,False,0.7516,20,0.732035643678347,12,0.0073739495558275,11,14.333333333333334,15
18,False,0.7525,19,0.7411961722051207,1,0.0109632785335608,25,15.0,17
3,False,0.7547,9,0.7302041175433592,18,0.0096506358979254,20,15.666666666666666,18
21,False,0.7556,7,0.7286346807353191,23,0.0091813213658228,18,16.0,19
11,False,0.7563,5,0.7310721038143231,16,0.0150700091599812,30,17.0,20
17,False,0.7504,21,0.7323607140776972,9,0.0098450317373324,21,17.0,20
29,False,0.7556,7,0.7299235489264226,20,0.0114278439743332,26,17.666666666666668,22
2,False,0.7355,28,0.7280732478822823,25,0.0033732346290627,3,18.666666666666668,23
1,False,0.7489,23,0.7278171153351138,26,0.0071123681647838,10,19.666666666666668,24
0,False,0.7558,6,0.7270354060215329,27,0.01191002214602,27,20.0,25
16,False,0.7406,27,0.7253052950842973,28,0.0058843082028716,6,20.333333333333332,26
27,False,0.7474,25,0.7297983452452537,21,0.0089501678637845,17,21.0,27
10,False,0.7469,26,0.7282771138780726,24,0.0102544168270601,23,24.333333333333332,28
15,False,0.7312,30,0.714760214151581,30,0.0099550906881491,22,27.333333333333332,29
9,False,0.7334,29,0.7234750786458705,29,0.0125284524536181,29,29.0,30
