apacheadmissiondx,n_stays,pct_of_non_missing
"Sepsis, pulmonary",8862,4.98
"Infarction, acute myocardial (MI)",7228,4.06
"CVA, cerebrovascular accident/stroke",6647,3.74
"CHF, congestive heart failure",6617,3.72
"Sepsis, renal/UTI (including bladder)",5273,2.96
"Rhythm disturbance (atrial, supraventricular)",4827,2.71
Diabetic ketoacidosis,4825,2.71
Cardiac arrest (with or without respiratory arrest; for respiratory arrest see Respiratory System),4580,2.58
"CABG alone, coronary artery bypass grafting",4543,2.55
Emphysema/bronchitis,4494,2.53
"Pneumonia, bacterial",4101,2.31
"Bleeding, upper GI",3238,1.82
"Coma/change in level of consciousness (for hepatic see GI, for diabetic see Endocrine, if related to cardiac arrest, see CV)",2902,1.63
"Sepsis, GI",2881,1.62
Seizures (primary-no structural brain disease),2776,1.56
"Angina, unstable (angina interferes w/quality of life or meds are tolerated poorly)",2658,1.49
"Sepsis, unknown",2602,1.46
"Arrest, respiratory (without cardiac arrest)",2599,1.46
"Hemorrhage/hematoma, intracranial",2450,1.38
"Bleeding, lower GI",2423,1.36
"Renal failure, acute",2349,1.32
"Respiratory - medical, other",2265,1.27
Aortic valve replacement (isolated),2239,1.26
"Hypertension, uncontrolled (for cerebrovascular accident-see Neurological System)",2045,1.15
"Sepsis, cutaneous/soft tissue",1933,1.09
"Bleeding, GI-location unknown",1907,1.07
Rhythm disturbance (conduction defect),1805,1.01
Head only trauma,1783,1.0
"Endarterectomy, carotid",1741,0.98
"Embolus, pulmonary",1697,0.95
