hospitalid,n_stays,n_deaths,n_valid,mortality_pct
94,9,0.0,9,0.0
86,15,0.0,15,0.0
156,20,0.0,20,0.0
136,3,0.0,3,0.0
265,33,0.0,28,0.0
246,217,0.0,216,0.0
385,3,0.0,3,0.0
323,11,0.0,11,0.0
409,33,0.0,33,0.0
267,245,1.0,230,0.43
393,127,1.0,127,0.79
138,176,2.0,176,1.14
205,381,5.0,381,1.31
342,255,4.0,255,1.57
133,228,4.0,228,1.75
328,525,10.0,523,1.91
59,854,20.0,854,2.34
95,256,7.0,254,2.76
182,572,18.0,572,3.15
68,692,22.0,692,3.18
125,247,8.0,247,3.24
60,458,15.0,458,3.28
365,1596,50.0,1422,3.52
351,27,1.0,27,3.7
424,413,16.0,407,3.93
331,2086,83.0,2081,3.99
56,325,13.0,325,4.0
250,222,9.0,222,4.05
408,210,9.0,210,4.29
175,723,31.0,719,4.31
258,349,15.0,346,4.34
135,23,1.0,23,4.35
245,597,26.0,596,4.36
363,70,3.0,66,4.55
310,1293,59.0,1284,4.6
176,4328,198.0,4283,4.62
158,494,23.0,494,4.66
96,21,1.0,21,4.76
71,1021,51.0,1021,5.0
212,20,1.0,20,5.0
282,905,45.0,898,5.01
69,697,36.0,697,5.16
357,745,38.0,727,5.23
364,329,15.0,284,5.28
146,1612,85.0,1609,5.28
66,1002,53.0,1002,5.29
58,321,17.0,321,5.3
272,1092,58.0,1092,5.31
108,354,19.0,351,5.41
152,1747,94.0,1735,5.42
92,586,32.0,584,5.48
263,66,3.0,54,5.56
171,2807,156.0,2798,5.58
413,2411,135.0,2411,5.6
85,53,3.0,52,5.77
422,356,20.0,346,5.78
148,2881,164.0,2821,5.81
280,1023,59.0,1013,5.82
277,1452,86.0,1447,5.94
195,1174,70.0,1173,5.97
271,947,57.0,945,6.03
358,360,19.0,314,6.05
180,379,23.0,379,6.07
425,302,18.0,295,6.1
174,131,8.0,131,6.11
67,496,31.0,496,6.25
301,1055,66.0,1055,6.26
399,255,16.0,255,6.27
382,1242,78.0,1242,6.28
405,367,23.0,365,6.3
256,760,48.0,758,6.33
155,852,54.0,852,6.34
345,1758,111.0,1748,6.35
249,358,23.0,358,6.42
262,193,12.0,186,6.45
165,3053,197.0,3039,6.48
279,726,47.0,724,6.49
167,6092,394.0,6004,6.56
251,318,21.0,316,6.65
381,225,15.0,225,6.67
281,2531,168.0,2519,6.67
198,639,44.0,638,6.9
353,695,44.0,634,6.94
154,1875,131.0,1866,7.02
419,494,35.0,494,7.09
90,15,1.0,14,7.14
244,1108,79.0,1106,7.14
115,70,5.0,70,7.14
436,306,22.0,303,7.26
123,220,16.0,220,7.27
438,198,14.0,192,7.29
404,408,30.0,407,7.37
269,712,52.0,703,7.4
179,81,6.0,81,7.41
196,378,28.0,378,7.41
396,575,43.0,575,7.48
204,160,12.0,160,7.5
197,1814,138.0,1814,7.61
63,1826,139.0,1824,7.62
389,447,34.0,445,7.64
402,405,31.0,405,7.65
61,233,18.0,233,7.73
248,1678,131.0,1677,7.81
444,1338,103.0,1317,7.82
194,379,27.0,345,7.83
407,691,54.0,689,7.84
447,39,3.0,38,7.89
416,2078,165.0,2064,7.99
394,1937,155.0,1935,8.01
201,136,11.0,136,8.09
440,2102,169.0,2071,8.16
338,4277,345.0,4200,8.21
207,680,56.0,680,8.24
110,2019,168.0,2017,8.33
254,589,46.0,545,8.44
423,215,18.0,212,8.49
220,727,62.0,727,8.53
112,373,32.0,373,8.58
141,1568,137.0,1568,8.74
143,743,65.0,741,8.77
459,592,53.0,590,8.98
275,587,53.0,587,9.03
283,2097,189.0,2068,9.14
215,658,60.0,656,9.15
300,3617,330.0,3587,9.2
183,2135,198.0,2135,9.27
303,151,14.0,151,9.27
73,7059,668.0,7058,9.46
188,3601,341.0,3601,9.47
337,548,52.0,548,9.49
445,328,31.0,319,9.72
336,982,95.0,973,9.76
417,1960,191.0,1954,9.77
209,122,12.0,122,9.84
83,61,6.0,61,9.84
383,501,49.0,497,9.86
307,1853,183.0,1853,9.88
403,1135,112.0,1134,9.88
200,411,41.0,411,9.98
102,31,3.0,30,10.0
352,62,6.0,60,10.0
355,84,6.0,60,10.0
398,309,31.0,309,10.03
243,4243,424.0,4224,10.04
202,1067,108.0,1067,10.12
164,177,18.0,177,10.17
387,589,60.0,589,10.19
411,3199,328.0,3199,10.25
224,486,50.0,486,10.29
435,1511,158.0,1511,10.46
210,626,66.0,624,10.58
266,233,24.0,226,10.62
140,538,57.0,535,10.65
449,2110,225.0,2108,10.67
412,308,33.0,308,10.71
429,317,34.0,315,10.79
120,111,12.0,111,10.81
384,984,109.0,983,11.09
199,4240,471.0,4240,11.11
227,1542,163.0,1460,11.16
428,257,29.0,256,11.33
84,44,5.0,44,11.36
181,928,107.0,928,11.53
144,821,87.0,751,11.58
184,830,97.0,830,11.69
226,1238,131.0,1119,11.71
79,1313,154.0,1309,11.76
434,409,48.0,408,11.76
388,992,116.0,983,11.8
157,2092,246.0,2076,11.85
318,1273,147.0,1236,11.89
122,2941,350.0,2933,11.93
458,3701,443.0,3694,11.99
391,971,117.0,971,12.05
268,573,69.0,571,12.08
203,124,15.0,124,12.1
443,3656,455.0,3651,12.46
