,n_missing,pct_missing,dtype,planned_use
dischargeweight,90937,45.27,float64,drop
hospitaladmitsource,49464,24.63,str,predictor
apacheadmissiondx,22996,11.45,str,predictor
admissionweight,16718,8.32,float64,predictor
admissionheight,4215,2.1,float64,predictor
ethnicity,2290,1.14,str,predictor
hospitaldischargelocation,2033,1.01,str,drop
hospitaldischargestatus,1751,0.87,str,outcome
hospital_mortality,1751,0.87,float64,outcome
unitadmitsource,1090,0.54,str,predictor
unitdischargelocation,334,0.17,str,drop
gender,134,0.07,str,predictor
age_numeric,95,0.05,float64,predictor
age,95,0.05,str,predictor
icu_mortality,34,0.02,float64,outcome
unitdischargestatus,34,0.02,str,outcome
patienthealthsystemstayid,0,0.0,int64,id
patientunitstayid,0,0.0,int64,id
unittype,0,0.0,str,predictor
hospitaldischargeoffset,0,0.0,int64,drop
hospitaldischargeyear,0,0.0,int64,drop
hospitaldischargetime24,0,0.0,str,drop
hospitaladmitoffset,0,0.0,int64,predictor
hospitalid,0,0.0,int64,id
wardid,0,0.0,int64,drop
hospitaladmittime24,0,0.0,str,drop
unitdischargeoffset,0,0.0,int64,drop
unitdischargetime24,0,0.0,str,drop
unitvisitnumber,0,0.0,int64,predictor
unitstaytype,0,0.0,str,drop
unitadmittime24,0,0.0,str,drop
uniquepid,0,0.0,str,id
hospital_los_days,0,0.0,float64,drop
icu_los_days,0,0.0,float64,drop
