feature,n_missing,pct_missing,action,imputed_value
heartrate,4,0.04,median=115.0 (<20%),115.0
meanbp,9,0.08,median=56.0 (<20%),56.0
respiratoryrate,32,0.29,median=32.0 (<20%),32.0
temperature,316,2.83,median=36.5 (<20%),36.5
fio2_frac,7650,68.52,median=0.55 (>50%),0.55
pao2,7650,68.52,median=94.5 (>50%),94.5
pf_ratio,7650,68.52,median=194.2857 (>50%),194.2857
wbc,1613,14.45,median=13.7 (<20%),13.7
creatinine,1227,10.99,median=1.4 (<20%),1.4
bilirubin,4974,44.55,median=0.7 (20-50%),0.7
bun,1235,11.06,median=30.0 (<20%),30.0
glucose,559,5.01,median=135.0 (<20%),135.0
sodium,1167,10.45,median=138.0 (<20%),138.0
ph,7650,68.52,median=7.35 (>50%),7.35
hematocrit,1479,13.25,median=30.2 (<20%),30.2
albumin,4420,39.59,median=2.4 (20-50%),2.4
gcs_total,104,0.93,median=14.0 (<20%),14.0
eyes,104,0.93,median=4.0 (<20%),4.0
motor,104,0.93,median=6.0 (<20%),6.0
verbal,104,0.93,median=4.0 (<20%),4.0
vent,0,0.0,no imputation,
intubated,0,0.0,no imputation,
dialysis,0,0.0,no imputation,
potassium_max,383,3.43,median=4.1 (<20%),4.1
platelets_min,687,6.15,median=174.0 (<20%),174.0
lactate_max,4017,35.98,median=2.0 (20-50%),2.0
map_min,157,1.41,median=52.0 (<20%),52.0
map_max,157,1.41,median=106.0 (<20%),106.0
map_mean,157,1.41,median=73.2826 (<20%),73.2826
gender_male,1,0.01,median=1.0 (<20%),1.0
age_numeric,0,0.0,no imputation,
