Column,Role,Group,dtype,N missing,% missing,Mean,Std,Min,Q25,Median,Q75,Max,N unique
patientunitstayid,ID,—,int64,0,0.0,1715637.6907,919544.9771,141194.0,959575.0,1734269.0,2596584.0,3352940.0,11173
hospitalid,ID,—,int64,0,0.0,267.7201,105.5896,73.0,181.0,269.0,353.0,458.0,65
hospital_mortality,Outcome (target),—,float64,0,0.0,0.1687,0.3745,0.0,0.0,0.0,0.0,1.0,2
age_numeric,Feature — GP terminal,Primary continuous,float64,0,0.0,65.6965,16.2297,18.0,56.0,67.0,78.0,90.0,73
heartrate,Feature — GP terminal,Primary continuous,float64,0,0.0,112.4272,28.7301,20.0,100.0,115.0,130.0,218.0,184
meanbp,Feature — GP terminal,Primary continuous,float64,0,0.0,76.2577,42.9653,40.0,47.0,56.0,111.0,200.0,148
respiratoryrate,Feature — GP terminal,Primary continuous,float64,0,0.0,30.2639,14.294,4.0,23.0,32.0,39.0,60.0,56
temperature,Feature — GP terminal,Primary continuous,float64,0,0.0,36.5723,1.2073,20.8,36.2,36.5,36.8,41.9,200
pf_ratio,Feature — GP terminal,Primary continuous,float64,0,0.0,200.2445,64.9133,27.0,194.2857,194.2857,194.2857,1187.5,1564
pao2,Feature — GP terminal,Primary continuous,float64,0,0.0,102.9108,46.9171,20.8,94.6,94.6,94.6,579.0,805
fio2,Feature — GP terminal,Primary continuous,float64,0,0.0,57.3849,15.6665,21.0,55.0,55.0,55.0,100.0,51
wbc,Feature — GP terminal,Primary continuous,float64,0,0.0,15.3711,10.412,0.02,9.1,13.7,18.8,179.3,1591
creatinine,Feature — GP terminal,Primary continuous,float64,0,0.0,1.945,1.8002,0.1,0.88,1.4,2.28,23.87,859
bilirubin,Feature — GP terminal,Primary continuous,float64,0,0.0,1.1556,2.1756,0.1,0.7,0.7,0.8,41.2,278
bun,Feature — GP terminal,Primary continuous,float64,0,0.0,35.8854,25.0993,1.0,19.0,30.0,45.0,252.0,217
glucose,Feature — GP terminal,Primary continuous,float64,0,0.0,162.6222,104.2844,3.0,94.0,135.0,204.0,1791.0,583
sodium,Feature — GP terminal,Primary continuous,float64,0,0.0,137.8923,6.3917,102.0,135.0,138.0,140.0,184.0,82
ph,Feature — GP terminal,Primary continuous,float64,0,0.0,7.3474,0.0609,6.81,7.35,7.35,7.35,7.68,455
hematocrit,Feature — GP terminal,Primary continuous,float64,0,0.0,30.5224,5.894,6.0,26.8,30.2,33.9,62.0,406
albumin,Feature — GP terminal,Primary continuous,float64,0,0.0,2.435,0.4701,1.0,2.3,2.4,2.6,6.6,41
gcs_total,Feature — GP terminal,Primary continuous,float64,0,0.0,12.4267,3.4645,3.0,11.0,14.0,15.0,15.0,13
potassium_max,Feature — GP terminal,Primary continuous,float64,0,0.0,4.2244,0.7196,1.9,3.8,4.1,4.5,12.2,71
platelets_min,Feature — GP terminal,Primary continuous,float64,0,0.0,189.2274,102.7755,2.0,127.0,175.0,232.0,1125.0,602
lactate_max,Feature — GP terminal,Primary continuous,float64,0,0.0,2.5487,2.3272,0.2,1.7,2.0,2.3,31.1,366
map_min,Feature — GP terminal,MAP features,float64,0,0.0,51.6434,14.229,0.0,43.0,52.0,60.0,219.0,100
map_max,Feature — GP terminal,MAP features,float64,0,0.0,111.1191,26.8097,25.0,93.0,106.0,123.0,286.0,201
map_mean,Feature — GP terminal,MAP features,float64,0,0.0,75.1272,11.8002,24.0,67.2344,73.2941,81.2333,219.0,9622
gender_male,Feature — GP terminal,Binary flags,float64,0,0.0,0.5107,0.4999,0.0,0.0,1.0,1.0,1.0,2
vent,Feature — GP terminal,Binary flags,int64,0,0.0,0.2953,0.4562,0.0,0.0,0.0,1.0,1.0,2
intubated,Feature — GP terminal,Binary flags,int64,0,0.0,0.1908,0.393,0.0,0.0,0.0,0.0,1.0,2
dialysis,Feature — GP terminal,Binary flags,int64,0,0.0,0.0523,0.2226,0.0,0.0,0.0,0.0,1.0,2
vasopressor_24h,Feature — GP terminal,Binary flags,int64,0,0.0,0.3434,0.4749,0.0,0.0,0.0,1.0,1.0,2
unit_CSICU,Feature — baseline only,Unit type dummy,int64,0,0.0,0.0188,0.1358,0.0,0.0,0.0,0.0,1.0,2
unit_CTICU,Feature — baseline only,Unit type dummy,int64,0,0.0,0.0082,0.0904,0.0,0.0,0.0,0.0,1.0,2
