label,auroc,auprc,brier,brier_skill_pct,ece_10bin,cal_slope,cal_intercept,sensitivity,specificity,f1,fitness,threshold,seed,complexity,train_loss,equation,is_selected
GP_c1,0.5,0.1692,0.1406,-0.0,0.0004,-0.0098,-1.6066,0.0,1.0,0.0,0.4998,inf,8,1,0.453978,-1.594144,False
GP_c3,0.565,0.1972,0.139,1.1,0.0159,0.69,-0.49,0.3122,0.8179,0.283,0.5571,0.3021,8,3,0.441777,intubated + -1.837341,False
GP_c4,0.6749,0.3707,0.1276,9.2,0.0226,0.891,-0.1972,0.4868,0.8039,0.3974,0.6636,0.2021,8,4,0.425294,log(lactate_max / gcs_total),False
GP_c5,0.6737,0.3773,0.1269,9.7,0.0137,1.012,0.0018,0.5132,0.7511,0.3752,0.6669,0.1748,8,5,0.424839,(lactate_max + -9.45065) / potassium_max,False
GP_c6,0.6898,0.3764,0.1273,9.4,0.0225,0.9403,-0.1327,0.6825,0.5927,0.3707,0.6785,0.1695,8,6,0.419514,(lactate_max + -11.368426) / sqrt(bun),False
GP_c7,0.6913,0.3861,0.1262,10.2,0.0175,1.1433,0.1917,0.6614,0.6519,0.3925,0.6825,0.1632,8,7,0.417845,sqrt(lactate_max) + (log(age_numeric) - ph),False
GP_c8,0.7079,0.3904,0.1254,10.8,0.0126,0.9873,-0.0243,0.7566,0.5625,0.3875,0.7016,0.1511,8,8,0.414433,(sqrt(lactate_max) + -2.7207997) - (gcs_total / bun),False
GP_c9,0.6981,0.3669,0.1276,9.3,0.0188,0.9123,-0.1372,0.619,0.6756,0.3855,0.6887,0.1511,8,9,0.412574,intubated + ((sqrt(lactate_max) + log(age_numeric)) - 7.617495),False
GP_c10,0.7137,0.3652,0.1269,9.8,0.0226,0.8928,-0.1609,0.6508,0.6703,0.3981,0.7024,0.1552,8,10,0.409108,((sqrt(lactate_max) * (age_numeric / map_mean)) - pf_ratio_miss) - 2.4779458,False
GP_c12,0.7225,0.3883,0.1248,11.2,0.0131,1.0154,0.0141,0.6667,0.6724,0.4071,0.716,0.1624,8,12,0.407337,"((age_numeric / map_mean) + max(vent, sqrt(lactate_max) - pf_ratio_miss)) - 3.5727246",False
