run,criterion,complexity,equation,val_auroc,val_ece,val_brier,test_auroc,test_ece,test_brier
1,auroc_minus_half_ece,24,"log(sqrt(bun) / ((map_mean / (lactate_max + bilirubin)) * (map_mean / age_numeric))) - min(log(pf_ratio * (gcs_total * (0.07448286 / heartrate))), pf_ratio_miss)",0.7609,0.014,0.1187,0.7355,0.0244,0.1229
1,auroc_only,24,"log(sqrt(bun) / ((map_mean / (lactate_max + bilirubin)) * (map_mean / age_numeric))) - min(log(pf_ratio * (gcs_total * (0.07448286 / heartrate))), pf_ratio_miss)",0.7609,0.014,0.1187,0.7355,0.0244,0.1229
1,brier_only,19,"log(sqrt(bun) / (min(map_mean, platelets_min) / ((vent + (lactate_max * ((age_numeric / pf_ratio) / 0.43752035))) + intubated)))",0.7563,0.0228,0.1176,0.7381,0.006,0.122
2,auroc_minus_half_ece,15,(((age_numeric / map_mean) * sqrt(lactate_max)) + sqrt(vent + (bun / platelets_min))) - 3.8483214,0.7196,0.0196,0.1267,0.7123,0.0202,0.1245
2,auroc_only,22,"log(((respiratoryrate + bun) / (map_mean / age_numeric)) / (min(platelets_min, map_mean) / (lactate_max + bilirubin))) + (max(vent, intubated) + -3.1193542)",0.7233,0.0297,0.1266,0.7333,0.0257,0.1241
2,brier_only,22,"log(((respiratoryrate + bun) / (map_mean / age_numeric)) / (min(platelets_min, map_mean) / (lactate_max + bilirubin))) + (max(vent, intubated) + -3.1193542)",0.7233,0.0297,0.1266,0.7333,0.0257,0.1241
3,auroc_minus_half_ece,20,log(((((bilirubin + lactate_max) / sqrt(pf_ratio / bun)) + intubated) / (map_mean / age_numeric)) / (map_mean / sqrt(heartrate))),0.7568,0.0173,0.1195,0.7175,0.0162,0.1239
3,auroc_only,20,log(((((bilirubin + lactate_max) / sqrt(pf_ratio / bun)) + intubated) / (map_mean / age_numeric)) / (map_mean / sqrt(heartrate))),0.7568,0.0173,0.1195,0.7175,0.0162,0.1239
3,brier_only,24,"log(((max(vent, intubated) + (lactate_max / sqrt(pf_ratio / bun))) / (map_mean / age_numeric)) / (min(map_mean, platelets_min) / (bilirubin + sqrt(heartrate))))",0.7502,0.0146,0.1193,0.7265,0.0233,0.1224
4,auroc_minus_half_ece,21,"log(((((age_numeric - gcs_total) * lactate_max) + bun) / sqrt(pf_ratio)) * (max(vent, intubated) + sqrt(bilirubin))) - log(map_mean)",0.7139,0.0196,0.1249,0.7301,0.01,0.1233
4,auroc_only,21,"log(((((age_numeric - gcs_total) * lactate_max) + bun) / sqrt(pf_ratio)) * (max(vent, intubated) + sqrt(bilirubin))) - log(map_mean)",0.7139,0.0196,0.1249,0.7301,0.01,0.1233
4,brier_only,21,"log(((((age_numeric - gcs_total) * lactate_max) + bun) / sqrt(pf_ratio)) * (max(vent, intubated) + sqrt(bilirubin))) - log(map_mean)",0.7139,0.0196,0.1249,0.7301,0.01,0.1233
5,auroc_minus_half_ece,23,"sqrt(lactate_max + exp(vent)) - log((gcs_total + min(platelets_min, map_mean)) * ((pf_ratio_miss + (pf_ratio / age_numeric)) / (bilirubin + sqrt(bun))))",0.7905,0.0256,0.1141,0.7298,0.0124,0.1218
5,auroc_only,23,"sqrt(lactate_max + exp(vent)) - log((gcs_total + min(platelets_min, map_mean)) * ((pf_ratio_miss + (pf_ratio / age_numeric)) / (bilirubin + sqrt(bun))))",0.7905,0.0256,0.1141,0.7298,0.0124,0.1218
5,brier_only,22,"sqrt((lactate_max + intubated) + vent) - log((max(min(platelets_min, map_mean), hematocrit) / (bilirubin + sqrt(bun))) * (pf_ratio / age_numeric))",0.7898,0.0243,0.1132,0.7259,0.0131,0.1223
6,auroc_minus_half_ece,24,(((age_numeric / pf_ratio) + -5.7253227) + (((age_numeric + respiratoryrate) / map_mean) + sqrt(bun / platelets_min))) + sqrt((lactate_max + exp(vent)) - pf_ratio_miss),0.7594,0.0187,0.1187,0.7477,0.0168,0.1196
6,auroc_only,24,(((age_numeric / pf_ratio) + -5.7253227) + (((age_numeric + respiratoryrate) / map_mean) + sqrt(bun / platelets_min))) + sqrt((lactate_max + exp(vent)) - pf_ratio_miss),0.7594,0.0187,0.1187,0.7477,0.0168,0.1196
6,brier_only,24,(((age_numeric / pf_ratio) + -5.7253227) + (((age_numeric + respiratoryrate) / map_mean) + sqrt(bun / platelets_min))) + sqrt((lactate_max + exp(vent)) - pf_ratio_miss),0.7594,0.0187,0.1187,0.7477,0.0168,0.1196
7,auroc_minus_half_ece,22,"log(sqrt(bun) * ((intubated + ((max(sqrt(bilirubin), lactate_max) + vent) * (age_numeric / min(pf_ratio * 0.43705016, platelets_min)))) / map_mean))",0.7202,0.0146,0.1245,0.771,0.0174,0.117
7,auroc_only,22,"log(sqrt(bun) * ((intubated + ((max(sqrt(bilirubin), lactate_max) + vent) * (age_numeric / min(pf_ratio * 0.43705016, platelets_min)))) / map_mean))",0.7202,0.0146,0.1245,0.771,0.0174,0.117
7,brier_only,22,"log(sqrt(bun) * ((intubated + ((max(sqrt(bilirubin), lactate_max) + vent) * (age_numeric / min(pf_ratio * 0.43705016, platelets_min)))) / map_mean))",0.7202,0.0146,0.1245,0.771,0.0174,0.117
8,auroc_minus_half_ece,6,(sqrt(lactate_max) + -2.599707) - pf_ratio_miss,0.7083,0.0104,0.1269,0.6616,0.0189,0.1299
8,auroc_only,6,(sqrt(lactate_max) + -2.599707) - pf_ratio_miss,0.7083,0.0104,0.1269,0.6616,0.0189,0.1299
8,brier_only,9,log((sqrt(bun) / map_mean) * (vent + lactate_max)),0.6924,0.0219,0.1255,0.688,0.0174,0.1271
9,auroc_minus_half_ece,22,"(lactate_max * 0.17636141) - (sqrt(min(map_mean, platelets_min)) / (sqrt(((bilirubin * bun) + age_numeric) / log(pf_ratio)) - (pf_ratio_miss - vent)))",0.7845,0.0217,0.1129,0.7207,0.0194,0.1261
9,auroc_only,22,"(lactate_max * 0.17636141) - (sqrt(min(map_mean, platelets_min)) / (sqrt(((bilirubin * bun) + age_numeric) / log(pf_ratio)) - (pf_ratio_miss - vent)))",0.7845,0.0217,0.1129,0.7207,0.0194,0.1261
9,brier_only,22,"(lactate_max * 0.17636141) - (sqrt(min(map_mean, platelets_min)) / (sqrt(((bilirubin * bun) + age_numeric) / log(pf_ratio)) - (pf_ratio_miss - vent)))",0.7845,0.0217,0.1129,0.7207,0.0194,0.1261
10,auroc_minus_half_ece,24,"(((bilirubin / gcs_total) + (sqrt(lactate_max) * (age_numeric / min(map_mean, pf_ratio)))) + (min(platelets_min, temperature) / -13.610439)) - max(0.21486576, pf_ratio_miss - vent)",0.7134,0.0221,0.1295,0.7177,0.0193,0.1248
10,auroc_only,24,"(((bilirubin / gcs_total) + (sqrt(lactate_max) * (age_numeric / min(map_mean, pf_ratio)))) + (min(platelets_min, temperature) / -13.610439)) - max(0.21486576, pf_ratio_miss - vent)",0.7134,0.0221,0.1295,0.7177,0.0193,0.1248
10,brier_only,24,"(((bilirubin / gcs_total) + (sqrt(lactate_max) * (age_numeric / min(map_mean, pf_ratio)))) + (min(platelets_min, temperature) / -13.610439)) - max(0.21486576, pf_ratio_miss - vent)",0.7134,0.0221,0.1295,0.7177,0.0193,0.1248
11,auroc_minus_half_ece,19,"(((heartrate / pf_ratio) + (max(vent, 0.38594845) + sqrt(bilirubin + lactate_max))) * sqrt(age_numeric / map_mean)) + -4.649834",0.756,0.0175,0.12,0.7127,0.019,0.127
11,auroc_only,12,(-2.8034346 - pf_ratio_miss) + ((age_numeric / map_mean) * sqrt(lactate_max + bilirubin)),0.756,0.0273,0.1217,0.7049,0.0289,0.1286
11,brier_only,19,"(((heartrate / pf_ratio) + (max(vent, 0.38594845) + sqrt(bilirubin + lactate_max))) * sqrt(age_numeric / map_mean)) + -4.649834",0.756,0.0175,0.12,0.7127,0.019,0.127
12,auroc_minus_half_ece,20,(sqrt(vent + lactate_max) + (heartrate / pf_ratio)) + (log((age_numeric / map_mean) * (bilirubin + sqrt(bun))) + -5.752735),0.7487,0.0231,0.1177,0.7604,0.022,0.1196
12,auroc_only,20,(sqrt(vent + lactate_max) + (heartrate / pf_ratio)) + (log((age_numeric / map_mean) * (bilirubin + sqrt(bun))) + -5.752735),0.7487,0.0231,0.1177,0.7604,0.022,0.1196
12,brier_only,24,"(((heartrate / pf_ratio) + sqrt(vent + lactate_max)) + (temperature * -0.16068198)) + log(((sqrt(bun) + bilirubin) * age_numeric) / min(platelets_min, map_mean))",0.7485,0.0243,0.1171,0.7616,0.0327,0.1197
13,auroc_minus_half_ece,19,"sqrt(lactate_max) + (log(age_numeric / min(map_mean, platelets_min)) + (max(vent, (bun / pf_ratio) + intubated) + -3.7799764))",0.742,0.0069,0.1189,0.7193,0.0229,0.1264
13,auroc_only,21,"log(age_numeric / min(map_mean, platelets_min)) + (((max(min(bilirubin, vent), intubated) + -3.7672644) + (bun / pf_ratio)) + sqrt(lactate_max))",0.7425,0.0122,0.1188,0.7202,0.0201,0.1263
13,brier_only,23,"(((respiratoryrate + bun) / pf_ratio) + (sqrt((exp(vent) + lactate_max) + intubated) + log(age_numeric))) - (log(min(map_mean, platelets_min)) + 4.066126)",0.7406,0.0154,0.118,0.7272,0.0194,0.1241
