label,auroc,auprc,brier,brier_skill_pct,ece_10bin,cal_slope,cal_intercept,sensitivity,specificity,f1,fitness,threshold,model,complexity,equation,run,seed
GP,0.7355,0.4095,0.1229,12.4,0.0244,0.8154,-0.2139,0.7639,0.5797,0.3986,0.7233,0.1148,GP,24.0,"log(sqrt(bun) / ((map_mean / (lactate_max + bilirubin)) * (map_mean / age_numeric))) - min(log(pf_ratio * (gcs_total * (0.07448286 / heartrate))), pf_ratio_miss)",1,0
LR,0.7619,0.454,0.1884,-34.2,0.245,0.861,-1.551,0.7851,0.6067,0.422,0.6394,0.4128,LR,,,1,0
RF,0.7706,0.4608,0.1296,7.7,0.1099,1.3623,-0.4603,0.634,0.7484,0.4414,0.7157,0.3228,RF,,,1,0
XGB,0.7569,0.4326,0.1412,-0.6,0.1063,0.6991,-0.9829,0.6737,0.708,0.4331,0.7037,0.299,XGB,,,1,0
LR_platt,0.7619,0.454,0.1178,16.0,0.0185,0.9811,-0.0009,0.7851,0.6067,0.422,0.7527,0.1314,LR_platt,,,1,0
RF_platt,0.7706,0.4608,0.1172,16.5,0.0164,0.9188,-0.0464,0.634,0.7484,0.4414,0.7624,0.1751,RF_platt,,,1,0
APACHE-IV,0.6948,0.3546,0.1377,2.2,0.064,0.4057,-0.9594,0.5584,0.7749,0.4197,0.6628,0.2607,APACHE-IV,,,1,0
GP,0.7123,0.3917,0.1245,11.3,0.0202,0.9652,-0.0338,0.5411,0.757,0.3953,0.7022,0.182,GP,15.0,(((age_numeric / map_mean) * sqrt(lactate_max)) + sqrt(vent + (bun / platelets_min))) - 3.8483214,2,1
LR,0.7567,0.4331,0.1907,-35.9,0.2461,0.836,-1.5451,0.7188,0.6546,0.4205,0.6337,0.4433,LR,,,2,1
RF,0.7695,0.4621,0.1298,7.5,0.1092,1.3288,-0.4913,0.7162,0.6929,0.4437,0.7149,0.3023,RF,,,2,1
XGB,0.7667,0.4539,0.138,1.7,0.1093,0.7605,-0.9586,0.6923,0.6972,0.435,0.7121,0.2981,XGB,,,2,1
LR_platt,0.7567,0.4331,0.12,14.5,0.0103,1.0,-0.0382,0.7188,0.6546,0.4205,0.7516,0.1548,LR_platt,,,2,1
RF_platt,0.7695,0.4621,0.1169,16.7,0.0119,1.0658,0.0576,0.7162,0.6929,0.4437,0.7636,0.1738,RF_platt,,,2,1
APACHE-IV,0.6791,0.395,0.1358,3.9,0.0735,0.3172,-1.0564,0.4986,0.8034,0.406,0.6423,0.2886,APACHE-IV,,,2,1
GP,0.7175,0.4067,0.1239,11.7,0.0162,0.9604,-0.068,0.5172,0.8001,0.4136,0.7094,0.2196,GP,20.0,log(((((bilirubin + lactate_max) / sqrt(pf_ratio / bun)) + intubated) / (map_mean / age_numeric)) / (map_mean / sqrt(heartrate))),3,2
LR,0.7565,0.4543,0.1944,-38.6,0.2537,0.8634,-1.5849,0.7109,0.6891,0.4386,0.6297,0.4701,LR,,,3,2
RF,0.7538,0.4709,0.1323,5.7,0.1168,1.294,-0.5409,0.6658,0.7069,0.4283,0.6954,0.3123,RF,,,3,2
XGB,0.7515,0.4472,0.1404,-0.0,0.106,0.7031,-0.9764,0.6154,0.7699,0.4479,0.6985,0.3582,XGB,,,3,2
LR_platt,0.7565,0.4543,0.1182,15.8,0.01,0.9515,-0.0631,0.7109,0.6891,0.4386,0.7515,0.1533,LR_platt,,,3,2
RF_platt,0.7538,0.4709,0.1177,16.1,0.0233,0.9317,-0.0852,0.6658,0.7069,0.4283,0.7422,0.17,RF_platt,,,3,2
APACHE-IV,0.6844,0.3592,0.1395,1.4,0.0725,0.3564,-1.0217,0.5613,0.7674,0.4169,0.6481,0.2635,APACHE-IV,,,3,2
GP,0.7301,0.4038,0.1233,12.1,0.01,0.9969,0.0101,0.5252,0.8082,0.4253,0.7251,0.2182,GP,21.0,"log(((((age_numeric - gcs_total) * lactate_max) + bun) / sqrt(pf_ratio)) * (max(vent, intubated) + sqrt(bilirubin))) - log(map_mean)",4,3
LR,0.775,0.4495,0.1868,-33.1,0.2472,0.9328,-1.5539,0.7347,0.6751,0.4407,0.6514,0.4498,LR,,,4,3
RF,0.7849,0.4738,0.1284,8.5,0.1128,1.4461,-0.4329,0.7958,0.632,0.4412,0.7284,0.2739,RF,,,4,3
XGB,0.7821,0.4595,0.134,4.5,0.1039,0.8071,-0.907,0.7454,0.6692,0.4418,0.7302,0.2671,XGB,,,4,3
LR_platt,0.775,0.4495,0.1177,16.2,0.0159,1.0641,0.0623,0.7347,0.6751,0.4407,0.7671,0.1551,LR_platt,,,4,3
RF_platt,0.7849,0.4738,0.1155,17.7,0.015,1.1924,0.2158,0.7958,0.632,0.4412,0.7774,0.1508,RF_platt,,,4,3
APACHE-IV,0.694,0.3781,0.1335,5.3,0.0612,0.3865,-0.9649,0.562,0.768,0.4167,0.6634,0.2491,APACHE-IV,,,4,3
GP,0.7298,0.4163,0.1218,13.2,0.0124,0.9234,-0.0731,0.6393,0.7053,0.4137,0.7236,0.1511,GP,23.0,"sqrt(lactate_max + exp(vent)) - log((gcs_total + min(platelets_min, map_mean)) * ((pf_ratio_miss + (pf_ratio / age_numeric)) / (bilirubin + sqrt(bun))))",5,4
LR,0.7481,0.4123,0.1952,-39.1,0.2519,0.7911,-1.5481,0.7003,0.6832,0.4296,0.6221,0.4677,LR,,,5,4
RF,0.7654,0.4355,0.1328,5.3,0.1141,1.3189,-0.5315,0.6393,0.7495,0.4451,0.7083,0.3352,RF,,,5,4
XGB,0.7552,0.4347,0.1396,0.5,0.1061,0.7243,-0.9587,0.6101,0.7608,0.4377,0.7022,0.3525,XGB,,,5,4
LR_platt,0.7481,0.4123,0.1225,12.7,0.0255,0.7519,-0.3174,0.7003,0.6832,0.4296,0.7353,0.1451,LR_platt,,,5,4
RF_platt,0.7654,0.4355,0.1207,14.0,0.035,0.739,-0.3223,0.6393,0.7495,0.4451,0.7478,0.1816,RF_platt,,,5,4
APACHE-IV,0.6989,0.3864,0.1334,4.3,0.0667,0.3907,-0.9878,0.6364,0.7274,0.4255,0.6656,0.2297,APACHE-IV,,,5,4
GP,0.7477,0.4402,0.1196,14.8,0.0168,1.0122,0.012,0.6048,0.7613,0.4351,0.7393,0.177,GP,24.0,(((age_numeric / pf_ratio) + -5.7253227) + (((age_numeric + respiratoryrate) / map_mean) + sqrt(bun / platelets_min))) + sqrt((lactate_max + exp(vent)) - pf_ratio_miss),6,5
LR,0.7901,0.4985,0.185,-31.8,0.2516,0.9631,-1.6098,0.6844,0.7635,0.4804,0.6643,0.514,LR,,,6,5
RF,0.7839,0.4787,0.1283,8.6,0.1136,1.3995,-0.4804,0.7135,0.7128,0.4563,0.7271,0.3106,RF,,,6,5
XGB,0.7803,0.4842,0.1348,3.9,0.1126,0.8175,-0.9543,0.7401,0.6853,0.45,0.724,0.2898,XGB,,,6,5
LR_platt,0.7901,0.4985,0.1127,19.7,0.0155,1.0183,0.0214,0.6844,0.7635,0.4804,0.7823,0.1752,LR_platt,,,6,5
RF_platt,0.7839,0.4787,0.1147,18.2,0.0124,0.9509,-0.041,0.7135,0.7128,0.4563,0.7777,0.1628,RF_platt,,,6,5
APACHE-IV,0.7149,0.3856,0.1307,6.2,0.0553,0.4384,-0.9119,0.7047,0.6631,0.417,0.6872,0.1719,APACHE-IV,,,6,5
GP,0.771,0.4549,0.117,16.6,0.0174,1.1105,0.1035,0.687,0.7247,0.4516,0.7623,0.1772,GP,22.0,"log(sqrt(bun) * ((intubated + ((max(sqrt(bilirubin), lactate_max) + vent) * (age_numeric / min(pf_ratio * 0.43705016, platelets_min)))) / map_mean))",7,6
LR,0.7998,0.4844,0.1854,-32.1,0.2567,0.983,-1.633,0.7427,0.7101,0.4686,0.6714,0.4834,LR,,,7,6
RF,0.802,0.53,0.1258,10.3,0.1245,1.6362,-0.3947,0.7109,0.7295,0.4673,0.7398,0.3282,RF,,,7,6
XGB,0.7834,0.4958,0.1359,3.2,0.1186,0.8443,-0.9699,0.7613,0.6622,0.4446,0.7241,0.2815,XGB,,,7,6
LR_platt,0.7998,0.4844,0.113,19.4,0.0248,1.1767,0.1697,0.7427,0.7101,0.4686,0.7874,0.1698,LR_platt,,,7,6
RF_platt,0.802,0.53,0.1107,21.1,0.0326,1.3485,0.3682,0.7109,0.7295,0.4673,0.7857,0.1922,RF_platt,,,7,6
APACHE-IV,0.7174,0.4046,0.1272,8.0,0.0638,0.4313,-0.9504,0.5882,0.7915,0.4459,0.6855,0.2747,APACHE-IV,,,7,6
GP,0.6616,0.3371,0.1299,7.4,0.0189,0.8222,-0.25,0.6021,0.6509,0.3626,0.6521,0.1464,GP,6.0,(sqrt(lactate_max) + -2.599707) - pf_ratio_miss,8,7
LR,0.762,0.4312,0.1912,-36.2,0.2465,0.8449,-1.5531,0.7188,0.6665,0.4278,0.6387,0.4537,LR,,,8,7
RF,0.7752,0.4597,0.1297,7.6,0.1122,1.379,-0.4667,0.687,0.7317,0.4568,0.7191,0.3204,RF,,,8,7
XGB,0.7604,0.4436,0.1406,-0.2,0.1118,0.7358,-0.9824,0.6525,0.7338,0.4405,0.7045,0.3325,XGB,,,8,7
LR_platt,0.762,0.4312,0.1198,14.6,0.0116,1.0971,0.1584,0.7188,0.6665,0.4278,0.7562,0.1542,LR_platt,,,8,7
RF_platt,0.7752,0.4597,0.1172,16.5,0.0142,1.1748,0.2309,0.687,0.7317,0.4568,0.7681,0.1859,RF_platt,,,8,7
APACHE-IV,0.7116,0.366,0.1349,4.2,0.0488,0.4563,-0.8697,0.7746,0.564,0.3962,0.6872,0.1332,APACHE-IV,,,8,7
GP,0.7207,0.3732,0.1261,10.1,0.0194,0.8296,-0.2128,0.6419,0.6902,0.4054,0.711,0.1623,GP,22.0,"(lactate_max * 0.17636141) - (sqrt(min(map_mean, platelets_min)) / (sqrt(((bilirubin * bun) + age_numeric) / log(pf_ratio)) - (pf_ratio_miss - vent)))",9,8
LR,0.7512,0.4376,0.1939,-38.2,0.2503,0.8279,-1.5623,0.6233,0.757,0.4421,0.6261,0.5192,LR,,,9,8
RF,0.7486,0.4137,0.1344,4.3,0.1085,1.1807,-0.595,0.6074,0.778,0.4499,0.6943,0.3474,RF,,,9,8
XGB,0.7416,0.4219,0.1453,-3.5,0.1093,0.6511,-1.0179,0.5995,0.7505,0.424,0.6869,0.3568,XGB,,,9,8
LR_platt,0.7512,0.4376,0.1203,14.3,0.0279,0.8009,-0.2676,0.6233,0.757,0.4421,0.7373,0.1769,LR_platt,,,9,8
