metric,model_A,model_B,n,median_diff,statistic,p_value_raw,p_value,sig_05,sig_bonferroni
auroc,APACHE-IV,GP,30,-0.03185,26.0,2.1619387288105737e-05,0.0,Yes,Yes
auroc,APACHE-IV,LR,30,-0.06665,0.0,1.7333066441991056e-06,0.0,Yes,Yes
auroc,APACHE-IV,LR_platt,30,-0.06665,0.0,1.7333066441991056e-06,0.0,Yes,Yes
auroc,APACHE-IV,RF,30,-0.0714,0.0,1.862645149230957e-09,0.0,Yes,Yes
auroc,APACHE-IV,RF_platt,30,-0.0714,0.0,1.862645149230957e-09,0.0,Yes,Yes
auroc,APACHE-IV,XGB,30,-0.05965,0.0,1.7333066441991056e-06,0.0,Yes,Yes
auroc,GP,LR,30,-0.03555,0.0,1.862645149230957e-09,0.0,Yes,Yes
auroc,GP,LR_platt,30,-0.03555,0.0,1.862645149230957e-09,0.0,Yes,Yes
auroc,GP,RF,30,-0.03925,0.0,1.7333066441991056e-06,0.0,Yes,Yes
auroc,GP,RF_platt,30,-0.03925,0.0,1.7333066441991056e-06,0.0,Yes,Yes
auroc,GP,XGB,30,-0.0283,0.0,1.862645149230957e-09,0.0,Yes,Yes
auroc,LR,LR_platt,30,0.0,0.0,1.0,1.0,No,No
auroc,LR,RF,30,-0.00615,64.5,0.0005491257322569088,0.0005,Yes,Yes
auroc,LR,RF_platt,30,-0.00615,64.5,0.0005491257322569088,0.0005,Yes,Yes
auroc,LR,XGB,30,0.0057,63.0,0.0004893526344310106,0.0005,Yes,Yes
auroc,LR_platt,RF,30,-0.00615,64.5,0.0005491257322569088,0.0005,Yes,Yes
auroc,LR_platt,RF_platt,30,-0.00615,64.5,0.0005491257322569088,0.0005,Yes,Yes
auroc,LR_platt,XGB,30,0.0057,63.0,0.0004893526344310106,0.0005,Yes,Yes
auroc,RF,RF_platt,30,0.0,0.0,1.0,1.0,No,No
auroc,RF,XGB,30,0.01345,0.0,1.7333066441991056e-06,0.0,Yes,Yes
auroc,RF_platt,XGB,30,0.01345,0.0,1.7333066441991056e-06,0.0,Yes,Yes
auprc,APACHE-IV,GP,30,-0.0312,33.0,5.973502993583679e-06,0.0,Yes,Yes
auprc,APACHE-IV,LR,30,-0.08165,0.0,1.862645149230957e-09,0.0,Yes,Yes
auprc,APACHE-IV,LR_platt,30,-0.08165,0.0,1.862645149230957e-09,0.0,Yes,Yes
auprc,APACHE-IV,RF,30,-0.0828,0.0,1.862645149230957e-09,0.0,Yes,Yes
auprc,APACHE-IV,RF_platt,30,-0.0828,0.0,1.862645149230957e-09,0.0,Yes,Yes
auprc,APACHE-IV,XGB,30,-0.07595,0.0,1.862645149230957e-09,0.0,Yes,Yes
auprc,GP,LR,30,-0.0465,1.0,1.919722783767457e-06,0.0,Yes,Yes
auprc,GP,LR_platt,30,-0.0465,1.0,1.919722783767457e-06,0.0,Yes,Yes
auprc,GP,RF,30,-0.05175,0.0,1.862645149230957e-09,0.0,Yes,Yes
auprc,GP,RF_platt,30,-0.05175,0.0,1.862645149230957e-09,0.0,Yes,Yes
auprc,GP,XGB,30,-0.03875,2.0,2.1253203734574536e-06,0.0,Yes,Yes
auprc,LR,LR_platt,30,0.0,0.0,1.0,1.0,No,No
auprc,LR,RF,30,0.00255,202.0,0.5425279382616282,0.5425,No,No
auprc,LR,RF_platt,30,0.00255,202.0,0.5425279382616282,0.5425,No,No
auprc,LR,XGB,30,0.01345,69.0,0.0007709689864627919,0.0008,Yes,Yes
auprc,LR_platt,RF,30,0.00255,202.0,0.5425279382616282,0.5425,No,No
auprc,LR_platt,RF_platt,30,0.00255,202.0,0.5425279382616282,0.5425,No,No
auprc,LR_platt,XGB,30,0.01345,69.0,0.0007709689864627919,0.0008,Yes,Yes
auprc,RF,RF_platt,30,0.0,0.0,1.0,1.0,No,No
auprc,RF,XGB,30,0.0138,22.0,1.4896859864716751e-05,0.0,Yes,Yes
auprc,RF_platt,XGB,30,0.0138,22.0,1.4896859864716751e-05,0.0,Yes,Yes
ece_10bin,APACHE-IV,GP,30,0.04135,0.0,1.862645149230957e-09,0.0,Yes,Yes
ece_10bin,APACHE-IV,LR,30,-0.19115,0.0,1.862645149230957e-09,0.0,Yes,Yes
ece_10bin,APACHE-IV,LR_platt,30,0.04365,0.0,1.862645149230957e-09,0.0,Yes,Yes
ece_10bin,APACHE-IV,RF,30,-0.0534,0.0,1.862645149230957e-09,0.0,Yes,Yes
ece_10bin,APACHE-IV,RF_platt,30,0.0426,0.0,1.7333066441991056e-06,0.0,Yes,Yes
ece_10bin,APACHE-IV,XGB,30,-0.05255,0.0,1.7333066441991056e-06,0.0,Yes,Yes
ece_10bin,GP,LR,30,-0.23735,0.0,1.7311263949197288e-06,0.0,Yes,Yes
ece_10bin,GP,LR_platt,30,0.00035,225.5,0.8855145392720127,0.8855,No,No
ece_10bin,GP,RF,30,-0.0984,0.0,1.7300371292901245e-06,0.0,Yes,Yes
ece_10bin,GP,RF_platt,30,-0.0014,199.0,0.5027610473334789,0.5028,No,No
ece_10bin,GP,XGB,30,-0.09395,0.0,1.862645149230957e-09,0.0,Yes,Yes
ece_10bin,LR,LR_platt,30,0.2348,0.0,1.7333066441991056e-06,0.0,Yes,Yes
ece_10bin,LR,RF,30,0.1379,0.0,1.732216233144114e-06,0.0,Yes,Yes
ece_10bin,LR,RF_platt,30,0.23355,0.0,1.862645149230957e-09,0.0,Yes,Yes
ece_10bin,LR,XGB,30,0.13935,0.0,1.732216233144114e-06,0.0,Yes,Yes
ece_10bin,LR_platt,RF,30,-0.0984,0.0,1.862645149230957e-09,0.0,Yes,Yes
ece_10bin,LR_platt,RF_platt,30,-0.0006,189.5,0.37643425823290966,0.3764,No,No
ece_10bin,LR_platt,XGB,30,-0.095,0.0,1.862645149230957e-09,0.0,Yes,Yes
ece_10bin,RF,RF_platt,30,0.0969,0.0,1.7300371292901245e-06,0.0,Yes,Yes
ece_10bin,RF,XGB,30,0.001,123.0,0.024292497926862725,0.0243,Yes,No
ece_10bin,RF_platt,XGB,30,-0.0945,0.0,1.862645149230957e-09,0.0,Yes,Yes
brier,APACHE-IV,GP,30,0.01095,0.0,1.7333066441991056e-06,0.0,Yes,Yes
brier,APACHE-IV,LR,30,-0.05575,0.0,1.7300371292901245e-06,0.0,Yes,Yes
brier,APACHE-IV,LR_platt,30,0.01585,0.0,1.7333066441991056e-06,0.0,Yes,Yes
brier,APACHE-IV,RF,30,0.00335,14.0,6.9759878496587715e-06,0.0,Yes,Yes
brier,APACHE-IV,RF_platt,30,0.0173,0.0,1.7333066441991056e-06,0.0,Yes,Yes
brier,APACHE-IV,XGB,30,-0.0064,1.5,2.0200104370071483e-06,0.0,Yes,Yes
brier,GP,LR,30,-0.0678,0.0,1.7311263949197288e-06,0.0,Yes,Yes
brier,GP,LR_platt,30,0.00535,1.0,1.9137405214875495e-06,0.0,Yes,Yes
brier,GP,RF,30,-0.008,1.0,1.9149357290008415e-06,0.0,Yes,Yes
brier,GP,RF_platt,30,0.00595,0.0,1.7289484360195754e-06,0.0,Yes,Yes
brier,GP,XGB,30,-0.01765,0.0,1.862645149230957e-09,0.0,Yes,Yes
brier,LR,LR_platt,30,0.0724,0.0,1.732216233144114e-06,0.0,Yes,Yes
brier,LR,RF,30,0.05955,0.0,1.7278603148724103e-06,0.0,Yes,Yes
brier,LR,RF_platt,30,0.0726,0.0,1.7311263949197288e-06,0.0,Yes,Yes
brier,LR,XGB,30,0.04985,0.0,1.7300371292901245e-06,0.0,Yes,Yes
brier,LR_platt,RF,30,-0.01315,0.0,1.7278603148724103e-06,0.0,Yes,Yes
