model_A,model_B,auroc_A,auroc_B,diff,se,z_stat,p_value_raw,p_value,sig_05,sig_bonferroni
GP (c=24),LR,0.7424,0.7679,-0.0255,0.01053,-2.422,0.01542076891738553,0.0154,Yes,No
GP (c=24),RF,0.7424,0.7814,-0.039,0.00923,-4.226,2.379494825066608e-05,0.0,Yes,Yes
GP (c=24),XGB,0.7424,0.7728,-0.0305,0.01128,-2.702,0.006895592629930114,0.0069,Yes,No
GP (c=24),LR_platt,0.7424,0.7679,-0.0255,0.01053,-2.422,0.01542076891738553,0.0154,Yes,No
GP (c=24),RF_platt,0.7424,0.7814,-0.039,0.00923,-4.226,2.379494825066608e-05,0.0,Yes,Yes
GP (c=24),APACHE-IV,0.7424,0.6847,0.0577,0.01708,3.376,0.0007345504863454089,0.0007,Yes,Yes
LR,RF,0.7679,0.7814,-0.0135,0.00828,-1.628,0.1034589185138477,0.1035,No,No
LR,XGB,0.7679,0.7728,-0.005,0.00958,-0.518,0.6041275744931522,0.6041,No,No
LR,LR_platt,0.7679,0.7679,0.0,0.0,0.0,1.0,1.0,No,No
LR,RF_platt,0.7679,0.7814,-0.0135,0.00828,-1.628,0.1034589185138477,0.1035,No,No
LR,APACHE-IV,0.7679,0.6847,0.0832,0.01584,5.252,1.5056082469655507e-07,0.0,Yes,Yes
RF,XGB,0.7814,0.7728,0.0085,0.0082,1.039,0.2988533649119576,0.2989,No,No
RF,LR_platt,0.7814,0.7679,0.0135,0.00828,1.628,0.1034589185138477,0.1035,No,No
RF,RF_platt,0.7814,0.7814,0.0,0.0,0.0,1.0,1.0,No,No
RF,APACHE-IV,0.7814,0.6847,0.0967,0.01598,6.051,1.442308050769725e-09,0.0,Yes,Yes
XGB,LR_platt,0.7728,0.7679,0.005,0.00958,0.518,0.6041275744931522,0.6041,No,No
XGB,RF_platt,0.7728,0.7814,-0.0085,0.0082,-1.039,0.2988533649119576,0.2989,No,No
XGB,APACHE-IV,0.7728,0.6847,0.0881,0.01735,5.08,3.783762099196508e-07,0.0,Yes,Yes
LR_platt,RF_platt,0.7679,0.7814,-0.0135,0.00828,-1.628,0.1034589185138477,0.1035,No,No
LR_platt,APACHE-IV,0.7679,0.6847,0.0832,0.01584,5.252,1.5056082469655507e-07,0.0,Yes,Yes
RF_platt,APACHE-IV,0.7814,0.6847,0.0967,0.01598,6.051,1.442308050769725e-09,0.0,Yes,Yes
