model,n,auroc,auroc_lo,auroc_hi,auprc,auprc_lo,auprc_hi,brier,brier_lo,brier_hi,ece,ece_lo,ece_hi,,,
GP (c=24),2233,0.7381,0.7098,0.7667,0.4374,0.3934,0.4842,0.1202,0.1157,0.1248,0.0126,0.0098,0.0292,,,
LR,2233,0.7675,0.7419,0.7945,0.4636,0.4176,0.5137,0.1964,0.1887,0.2049,0.2595,0.2505,0.2682,,,
RF,2233,0.7767,0.7501,0.8018,0.4737,0.4284,0.5222,0.1299,0.1252,0.1346,0.1156,0.1091,0.1228,,,
XGB,2233,0.7679,0.7434,0.7934,0.4512,0.4067,0.4987,0.1411,0.1335,0.1485,0.1156,0.1064,0.1248,,,
LR_platt,2233,0.7675,0.7404,0.7936,0.4636,0.4195,0.51,0.1168,0.1117,0.122,0.0117,0.0101,0.0296,,,
RF_platt,2233,0.7767,0.7501,0.8018,0.4737,0.4296,0.5215,0.1153,0.11,0.1208,0.0203,0.0144,0.0382,,,
APACHE-IV,2050,0.6847,0.6504,0.7178,0.3699,0.3249,0.4191,0.1336,0.1265,0.1412,0.0674,0.0539,0.0824,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
