model,metric,best,average,worst,stdev
GP (c=24),auroc,0.8366,0.7368,0.6532,0.0574
GP (c=24),auprc,0.6375,0.4492,0.2705,0.1012
GP (c=24),ece_10bin,0.0259,0.041,0.0647,0.0107
GP (c=24),brier,0.1013,0.1202,0.138,0.01
RF,auroc,0.8463,0.7765,0.7292,0.043
RF,auprc,0.6173,0.4854,0.3421,0.0867
RF,ece_10bin,0.0967,0.1224,0.1404,0.0125
RF,brier,0.1181,0.1299,0.1395,0.0081
RF_platt,auroc,0.8463,0.7765,0.7292,0.043
RF_platt,auprc,0.6173,0.4854,0.3421,0.0867
RF_platt,ece_10bin,0.031,0.0488,0.0757,0.0136
RF_platt,brier,0.1001,0.1153,0.1315,0.0101
XGB,auroc,0.8534,0.7678,0.6807,0.0537
XGB,auprc,0.6123,0.4616,0.3121,0.0984
XGB,ece_10bin,0.0764,0.1187,0.1391,0.0195
XGB,brier,0.1225,0.1411,0.1638,0.0141
LR,auroc,0.8437,0.7669,0.6533,0.0547
LR,auprc,0.6642,0.4788,0.2846,0.1002
LR,ece_10bin,0.226,0.26,0.2775,0.0163
LR,brier,0.1705,0.1964,0.2165,0.0151
LR_platt,auroc,0.8437,0.7669,0.6533,0.0547
LR_platt,auprc,0.6642,0.4788,0.2846,0.1002
LR_platt,ece_10bin,0.0407,0.0511,0.0681,0.0113
LR_platt,brier,0.0939,0.1168,0.1392,0.0122
