label,auroc,auprc,brier,brier_skill_pct,ece_10bin,cal_slope,cal_intercept,sensitivity,specificity,f1,fitness,threshold,model,group,n,n_pos
GP (c=24),0.7476,0.4608,0.1199,14.8,0.0356,0.9784,-0.1145,0.6053,0.7957,0.4646,0.7298,0.2148,GP (c=24),1,224,38
LR,0.8035,0.5218,0.1975,-40.2,0.2775,0.9963,-1.7637,0.7895,0.7634,0.5357,0.6647,0.5327,LR,1,224,38
RF,0.8367,0.5848,0.1211,14.0,0.1342,1.6908,-0.4343,0.7632,0.7957,0.5524,0.7696,0.3736,RF,1,224,38
XGB,0.8357,0.6123,0.1225,13.1,0.1389,1.1042,-0.9555,0.8158,0.7634,0.5487,0.7663,0.3657,XGB,1,224,38
LR_platt,0.8035,0.5218,0.1116,20.8,0.0451,1.0715,-0.0274,0.7895,0.7634,0.5357,0.7809,0.1829,LR_platt,1,224,38
RF_platt,0.8367,0.5848,0.1035,26.5,0.0466,1.1492,0.0734,0.7632,0.7957,0.5524,0.8134,0.23,RF_platt,1,224,38
GP (c=24),0.8366,0.6375,0.1013,28.1,0.0647,1.6465,0.8725,0.6316,0.914,0.6154,0.8043,0.2426,GP (c=24),2,224,38
LR,0.8437,0.6642,0.1705,-21.0,0.2539,1.1831,-1.8002,0.7105,0.8817,0.6207,0.7167,0.6257,LR,2,224,38
RF,0.8271,0.6173,0.1181,16.2,0.1289,1.6162,-0.4233,0.7105,0.8333,0.5625,0.7627,0.3905,RF,2,224,38
XGB,0.8087,0.571,0.1332,5.4,0.1314,0.84,-1.0872,0.8158,0.672,0.4769,0.743,0.2842,XGB,2,224,38
LR_platt,0.8437,0.6642,0.0939,33.4,0.0681,1.2716,0.2602,0.7105,0.8817,0.6207,0.8096,0.2418,LR_platt,2,224,38
RF_platt,0.8271,0.6173,0.1001,28.9,0.031,1.0951,0.0625,0.7105,0.8333,0.5625,0.8116,0.2501,RF_platt,2,224,38
GP (c=24),0.7267,0.4376,0.1225,13.0,0.0354,1.0336,0.1578,0.7632,0.6183,0.4203,0.709,0.1403,GP (c=24),3,224,38
LR,0.7359,0.516,0.1954,-38.7,0.2485,0.8276,-1.5499,0.6316,0.8226,0.5053,0.6116,0.5953,LR,3,224,38
RF,0.7508,0.4817,0.1331,5.5,0.1218,1.1553,-0.6262,0.6579,0.8118,0.5102,0.69,0.3594,RF,3,224,38
XGB,0.7378,0.3932,0.1489,-5.7,0.1093,0.6077,-1.0261,0.5,0.8925,0.4935,0.6832,0.5504,XGB,3,224,38
LR_platt,0.7359,0.516,0.1158,17.8,0.042,0.8913,-0.1075,0.6316,0.8226,0.5053,0.7149,0.2208,LR_platt,3,224,38
RF_platt,0.7508,0.4817,0.1165,17.3,0.0546,0.7756,-0.2816,0.6579,0.8118,0.5102,0.7236,0.2136,RF_platt,3,224,38
GP (c=24),0.8123,0.4955,0.1131,18.3,0.0517,1.1787,0.1074,0.7838,0.7043,0.4793,0.7864,0.173,GP (c=24),4,223,37
LR,0.828,0.4877,0.1926,-39.2,0.2704,0.9328,-1.7793,0.9459,0.5645,0.4575,0.6927,0.3795,LR,4,223,37
RF,0.8463,0.5697,0.122,11.9,0.1404,1.6357,-0.5449,0.7568,0.8602,0.6154,0.776,0.4049,RF,4,223,37
XGB,0.8534,0.5466,0.1269,8.3,0.1391,1.0341,-1.0973,0.7838,0.8065,0.5686,0.7838,0.4321,XGB,4,223,37
LR_platt,0.828,0.4877,0.1126,18.6,0.0679,1.0038,-0.1529,0.9459,0.5645,0.4575,0.794,0.1117,LR_platt,4,223,37
RF_platt,0.8463,0.5697,0.1041,24.8,0.0429,1.11,-0.0586,0.7568,0.8602,0.6154,0.8248,0.268,RF_platt,4,223,37
GP (c=24),0.7682,0.4555,0.1173,15.2,0.0403,1.0224,0.0318,0.8649,0.586,0.4384,0.7481,0.1284,GP (c=24),5,223,37
LR,0.7743,0.4646,0.195,-40.9,0.2604,0.6871,-1.59,0.8108,0.6667,0.4651,0.6441,0.446,LR,5,223,37
RF,0.7552,0.448,0.1316,4.9,0.1185,1.2487,-0.581,0.8108,0.5806,0.4138,0.6959,0.2716,RF,5,223,37
XGB,0.7709,0.4533,0.139,-0.5,0.1166,0.7435,-1.0125,0.9459,0.4892,0.4192,0.7126,0.1807,XGB,5,223,37
LR_platt,0.7743,0.4646,0.1172,15.3,0.0631,0.74,-0.3923,0.8108,0.6667,0.4651,0.7428,0.1396,LR_platt,5,223,37
RF_platt,0.7552,0.448,0.1178,14.9,0.0454,0.842,-0.2025,0.8108,0.5806,0.4138,0.7324,0.1263,RF_platt,5,223,37
GP (c=24),0.6931,0.3364,0.1285,7.1,0.036,0.818,-0.2848,0.6757,0.6774,0.4098,0.6751,0.1582,GP (c=24),6,223,37
LR,0.791,0.4933,0.1959,-41.6,0.2722,0.9815,-1.7183,0.7297,0.7473,0.4865,0.655,0.5368,LR,6,223,37
RF,0.7658,0.4148,0.1332,3.7,0.1194,1.1715,-0.6646,0.6486,0.8495,0.5393,0.7061,0.4004,RF,6,223,37
XGB,0.753,0.3965,0.1475,-6.6,0.1251,0.6433,-1.1079,0.6486,0.8172,0.5053,0.6904,0.4008,XGB,6,223,37
LR_platt,0.791,0.4933,0.1116,19.3,0.0449,1.0548,-0.0093,0.7297,0.7473,0.4865,0.7686,0.1852,LR_platt,6,223,37
RF_platt,0.7658,0.4148,0.1183,14.5,0.0339,0.7866,-0.3148,0.6486,0.8495,0.5393,0.7488,0.2623,RF_platt,6,223,37
GP (c=24),0.6954,0.4428,0.1217,13.9,0.0356,0.9598,-0.1294,0.4211,0.8919,0.4324,0.6777,0.2604,GP (c=24),7,223,38
LR,0.7464,0.4305,0.2111,-49.4,0.2713,0.7575,-1.6168,0.7895,0.6432,0.4478,0.6107,0.4656,LR,7,223,38
RF,0.7292,0.4361,0.1395,1.4,0.1307,1.0724,-0.7194,0.6842,0.7622,0.4815,0.6638,0.3565,RF,7,223,38
XGB,0.7081,0.3635,0.1638,-15.8,0.1329,0.5336,-1.1426,0.8684,0.4919,0.4,0.6417,0.1844,XGB,7,223,38
LR_platt,0.7464,0.4305,0.1245,11.9,0.0417,0.8157,-0.2965,0.7895,0.6432,0.4478,0.7255,0.1486,LR_platt,7,223,38
RF_platt,0.7292,0.4361,0.1228,13.1,0.066,0.7198,-0.3998,0.6842,0.7622,0.4815,0.6962,0.2104,RF_platt,7,223,38
GP (c=24),0.6532,0.2705,0.138,2.4,0.043,0.6459,-0.434,0.6842,0.627,0.391,0.6317,0.1416,GP (c=24),8,223,38
LR,0.6533,0.2846,0.2143,-51.6,0.2463,0.4926,-1.4691,0.7895,0.5297,0.3871,0.5302,0.3832,LR,8,223,38
RF,0.74,0.3421,0.1387,1.9,0.0967,0.9887,-0.6441,0.8158,0.6378,0.4559,0.6916,0.2644,RF,8,223,38
XGB,0.6807,0.3121,0.1569,-11.0,0.101,0.4562,-1.0632,0.7632,0.5189,0.3718,0.6302,0.1861,XGB,8,223,38
LR_platt,0.6533,0.2846,0.1392,1.6,0.0544,0.5299,-0.612,0.7895,0.5297,0.3871,0.6261,0.1132,LR_platt,8,223,38
RF_platt,0.74,0.3421,0.1315,7.0,0.0452,0.6629,-0.3448,0.8158,0.6378,0.4559,0.7174,0.1202,RF_platt,8,223,38
GP (c=24),0.6909,0.4149,0.1267,10.4,0.0415,0.8486,-0.261,0.5789,0.7459,0.4112,0.6701,0.1898,GP (c=24),9,223,38
LR,0.7357,0.3862,0.2165,-53.1,0.2733,0.6978,-1.6211,0.7632,0.6541,0.4427,0.5991,0.5019,LR,9,223,38
RF,0.7516,0.4355,0.1384,2.1,0.1233,1.0637,-0.7544,0.8421,0.5622,0.4238,0.69,0.2455,RF,9,223,38
XGB,0.76,0.4437,0.1472,-4.1,0.1159,0.6654,-1.0456,0.8158,0.5892,0.4276,0.7021,0.2143,XGB,9,223,38
LR_platt,0.7357,0.3862,0.1292,8.6,0.043,0.7516,-0.4045,0.7632,0.6541,0.4427,0.7142,0.1665,LR_platt,9,223,38
RF_platt,0.7516,0.4355,0.1248,11.7,0.0462,0.7096,-0.4451,0.8421,0.5622,0.4238,0.7286,0.1048,RF_platt,9,223,38
GP (c=24),0.7438,0.541,0.1133,19.9,0.0259,1.1892,0.4676,0.4737,0.9459,0.5455,0.7309,0.2728,GP (c=24),10,223,38
LR,0.7572,0.5389,0.1756,-24.2,0.226,0.9535,-1.4476,0.4737,0.9297,0.5217,0.6442,0.6668,LR,10,223,38
RF,0.7626,0.5239,0.1233,12.8,0.1104,1.313,-0.32,0.5789,0.8865,0.5432,0.7074,0.3852,RF,10,223,38
XGB,0.7698,0.5241,0.125,11.6,0.0764,0.83,-0.7161,0.5263,0.8757,0.4938,0.7316,0.4374,XGB,10,223,38
LR_platt,0.7572,0.5389,0.1123,20.6,0.0407,1.0253,0.2119,0.4737,0.9297,0.5217,0.7368,0.2736,LR_platt,10,223,38
RF_platt,0.7626,0.5239,0.1132,19.9,0.0757,0.8842,0.0813,0.5789,0.8865,0.5432,0.7247,0.2438,RF_platt,10,223,38
