metric,model_A,model_B,n,median_diff,p_value_raw,p_value,sig_05,sig_bonferroni
auroc,GP (c=24),LR,10,-0.01455,0.001953125,0.002,Yes,Yes
auroc,GP (c=24),LR_platt,10,-0.01455,0.001953125,0.002,Yes,Yes
auroc,GP (c=24),RF,10,-0.0339,0.009765625,0.0098,Yes,No
auroc,GP (c=24),RF_platt,10,-0.0339,0.009765625,0.0098,Yes,No
auroc,GP (c=24),XGB,10,-0.02675,0.02734375,0.0273,Yes,No
auroc,LR,LR_platt,10,0.0,1.0,1.0,No,No
auroc,LR,RF,10,-0.01015,0.76953125,0.7695,No,No
auroc,LR,RF_platt,10,-0.01015,0.76953125,0.7695,No,No
auroc,LR,XGB,10,-0.00725,0.921875,0.9219,No,No
auroc,LR_platt,RF,10,-0.01015,0.76953125,0.7695,No,No
auroc,LR_platt,RF_platt,10,-0.01015,0.76953125,0.7695,No,No
auroc,LR_platt,XGB,10,-0.00725,0.921875,0.9219,No,No
auroc,RF,RF_platt,10,0.0,1.0,1.0,No,No
auroc,RF,XGB,10,0.0069,0.275390625,0.2754,No,No
auroc,RF_platt,XGB,10,0.0069,0.275390625,0.2754,No,No
auprc,GP (c=24),LR,10,-0.0116,0.193359375,0.1934,No,No
auprc,GP (c=24),LR_platt,10,-0.0116,0.193359375,0.1934,No,No
auprc,GP (c=24),RF,10,-0.03235,0.083984375,0.084,No,No
auprc,GP (c=24),RF_platt,10,-0.03235,0.083984375,0.084,No,No
auprc,GP (c=24),XGB,10,-0.0133,0.845703125,0.8457,No,No
auprc,LR,LR_platt,10,0.0,1.0,1.0,No,No
auprc,LR,RF,10,0.0047,0.6953125,0.6953,No,No
auprc,LR,RF_platt,10,0.0047,0.6953125,0.6953,No,No
auprc,LR,XGB,10,0.01305,0.431640625,0.4316,No,No
auprc,LR_platt,RF,10,0.0047,0.6953125,0.6953,No,No
auprc,LR_platt,RF_platt,10,0.0047,0.6953125,0.6953,No,No
auprc,LR_platt,XGB,10,0.01305,0.431640625,0.4316,No,No
auprc,RF,RF_platt,10,0.0,1.0,1.0,No,No
auprc,RF,XGB,10,0.0207,0.130859375,0.1309,No,No
auprc,RF_platt,XGB,10,0.0207,0.130859375,0.1309,No,No
ece_10bin,GP (c=24),LR,10,-0.2194,0.001953125,0.002,Yes,Yes
ece_10bin,GP (c=24),LR_platt,10,-0.0092,0.001953125,0.002,Yes,Yes
ece_10bin,GP (c=24),RF,10,-0.08395,0.001953125,0.002,Yes,Yes
ece_10bin,GP (c=24),RF_platt,10,-0.0049,0.232421875,0.2324,No,No
ece_10bin,GP (c=24),XGB,10,-0.07535,0.001953125,0.002,Yes,Yes
ece_10bin,LR,LR_platt,10,0.2045,0.001953125,0.002,Yes,Yes
ece_10bin,LR,RF,10,0.14125,0.001953125,0.002,Yes,Yes
ece_10bin,LR,RF_platt,10,0.21895,0.001953125,0.002,Yes,Yes
ece_10bin,LR,XGB,10,0.1415,0.001953125,0.002,Yes,Yes
ece_10bin,LR_platt,RF,10,-0.0735,0.001953125,0.002,Yes,Yes
ece_10bin,LR_platt,RF_platt,10,0.00385,0.76953125,0.7695,No,No
ece_10bin,LR_platt,XGB,10,-0.06925,0.001953125,0.002,Yes,Yes
ece_10bin,RF,RF_platt,10,0.0751,0.001953125,0.002,Yes,Yes
ece_10bin,RF,XGB,10,-0.00045,0.845703125,0.8457,No,No
ece_10bin,RF_platt,XGB,10,-0.07045,0.001953125,0.002,Yes,Yes
brier,GP (c=24),LR,10,-0.07695,0.001953125,0.002,Yes,Yes
brier,GP (c=24),LR_platt,10,0.00075,0.232421875,0.2324,No,No
brier,GP (c=24),RF,10,-0.0103,0.001953125,0.002,Yes,Yes
brier,GP (c=24),RF_platt,10,0.00395,0.01953125,0.0195,Yes,No
brier,GP (c=24),XGB,10,-0.01975,0.001953125,0.002,Yes,Yes
brier,LR,LR_platt,10,0.0798,0.001953125,0.002,Yes,Yes
brier,LR,RF,10,0.067,0.001953125,0.002,Yes,Yes
brier,LR,RF_platt,10,0.08085,0.001953125,0.002,Yes,Yes
brier,LR,XGB,10,0.0533,0.001953125,0.002,Yes,Yes
brier,LR_platt,RF,10,-0.0127,0.00390625,0.0039,Yes,No
brier,LR_platt,RF_platt,10,0.00055,0.431640625,0.4316,No,No
brier,LR_platt,XGB,10,-0.0199,0.001953125,0.002,Yes,Yes
brier,RF,RF_platt,10,0.01575,0.001953125,0.002,Yes,Yes
brier,RF,XGB,10,-0.01155,0.001953125,0.002,Yes,Yes
brier,RF_platt,XGB,10,-0.0241,0.001953125,0.002,Yes,Yes
