model_A,model_B,n,median_diff,mean_diff,statistic,p_value_raw,p_value,sig_05,sig_bonferroni
GP (c=24),LR,2233,-0.07743,-0.0762,632679.0,1.985452908748971e-90,0.0,Yes,Yes
GP (c=24),RF,2233,-0.0223,-0.00964,704246.0,5.2753606036723e-71,0.0,Yes,Yes
GP (c=24),XGB,2233,-0.00432,-0.02085,931284.0,3.561134507650203e-25,0.0,Yes,Yes
GP (c=24),LR_platt,2233,0.00197,0.00345,1102843.0,2.1881471353927457e-06,0.0,Yes,Yes
GP (c=24),RF_platt,2233,0.0033,0.00498,1052629.0,1.7348842880948795e-10,0.0,Yes,Yes
GP (c=24),APACHE-IV,2050,0.00059,-0.01579,963923.0,0.001138759745028262,0.0011,Yes,Yes
LR,RF,2233,0.04381,0.06656,636232.0,2.0824078517249062e-89,0.0,Yes,Yes
LR,XGB,2233,0.04403,0.05535,585391.0,1.419035925428319e-104,0.0,Yes,Yes
LR,LR_platt,2233,0.08539,0.07965,619301.0,2.5222075678800315e-94,0.0,Yes,Yes
LR,RF_platt,2233,0.08099,0.08117,602570.0,2.5802747697072566e-99,0.0,Yes,Yes
LR,APACHE-IV,2050,0.05973,0.06242,530004.0,3.379513043544527e-84,0.0,Yes,Yes
RF,XGB,2233,0.00743,-0.01121,1135981.0,0.0002645974743626675,0.0003,Yes,Yes
RF,LR_platt,2233,0.02491,0.01309,661667.0,2.841399361921239e-82,0.0,Yes,Yes
RF,RF_platt,2233,0.03299,0.01461,641494.0,6.597999867861922e-88,0.0,Yes,Yes
RF,APACHE-IV,2050,0.01717,-0.00575,748910.0,1.7343447766290992e-29,0.0,Yes,Yes
XGB,LR_platt,2233,0.00727,0.0243,800351.0,1.1224168660521887e-48,0.0,Yes,Yes
XGB,RF_platt,2233,0.00917,0.02582,751956.0,2.211121306098901e-59,0.0,Yes,Yes
XGB,APACHE-IV,2050,0.00362,0.00515,872469.0,2.6331866085207922e-11,0.0,Yes,Yes
LR_platt,RF_platt,2233,0.00096,0.00153,1147471.0,0.0010731110368169818,0.0011,Yes,Yes
LR_platt,APACHE-IV,2050,-0.00114,-0.01863,860869.0,1.260990530999924e-12,0.0,Yes,Yes
RF_platt,APACHE-IV,2050,-0.00241,-0.02121,786709.0,5.887235597445338e-23,0.0,Yes,Yes
