model,metric,best,average,worst,stdev
GP,auroc,0.7612,0.7416,0.7114,0.0139
GP,auprc,0.4862,0.4302,0.3563,0.0302
GP,ece_10bin,0.0064,0.0163,0.03,0.0059
GP,brier,0.1012,0.1216,0.1396,0.0086
RF,auroc,0.7954,0.7768,0.7531,0.0111
RF,auprc,0.5151,0.465,0.3775,0.0283
RF,ece_10bin,0.0919,0.1123,0.1426,0.0139
RF,brier,0.1188,0.1305,0.1418,0.0061
RF_platt,auroc,0.7954,0.7768,0.7531,0.0111
RF_platt,auprc,0.5151,0.465,0.3775,0.0283
RF_platt,ece_10bin,0.0078,0.0193,0.0328,0.0062
RF_platt,brier,0.099,0.1172,0.1335,0.0082
XGB,auroc,0.7741,0.7567,0.7363,0.0097
XGB,auprc,0.4954,0.4453,0.3924,0.0256
XGB,ece_10bin,0.113,0.1341,0.1669,0.0145
XGB,brier,0.1384,0.1477,0.1627,0.0059
LR,auroc,0.7835,0.7672,0.7454,0.0101
LR,auprc,0.5286,0.46,0.3848,0.0289
LR,ece_10bin,0.2272,0.2516,0.2785,0.0138
LR,brier,0.172,0.1912,0.2082,0.0094
LR_platt,auroc,0.7835,0.7672,0.7454,0.0101
LR_platt,auprc,0.5286,0.46,0.3848,0.0289
LR_platt,ece_10bin,0.0095,0.0177,0.0317,0.0064
LR_platt,brier,0.1021,0.1181,0.1334,0.0078
APACHE-IV,auroc,0.7292,0.7017,0.6628,0.0159
APACHE-IV,auprc,0.4324,0.378,0.2772,0.0332
APACHE-IV,ece_10bin,0.0472,0.0612,0.0832,0.0099
APACHE-IV,brier,0.1189,0.1349,0.1534,0.0082
