label,auroc,auprc,brier,brier_skill_pct,ece_10bin,cal_slope,cal_intercept,sensitivity,specificity,f1,fitness,threshold,model,run,seed
GP,0.7456,0.397,0.1045,13.1,0.03,1.0293,-0.1874,0.5833,0.7757,0.3939,0.7306,0.194,GP,1,0
LR,0.7687,0.4187,0.1883,-56.5,0.2696,0.8722,-1.8008,0.7311,0.6833,0.3975,0.634,0.4543,LR,1,0
RF,0.7906,0.4478,0.1209,-0.5,0.1426,1.4407,-0.7427,0.7311,0.724,0.4265,0.7194,0.317,RF,1,0
XGB,0.7718,0.4262,0.1423,-18.3,0.1669,0.7789,-1.364,0.6136,0.8065,0.4378,0.6883,0.4616,XGB,1,0
LR_platt,0.7687,0.4187,0.1031,14.3,0.0317,0.958,-0.3288,0.7311,0.6833,0.3975,0.7529,0.1541,LR_platt,1,0
RF_platt,0.7906,0.4478,0.0999,17.0,0.0328,1.0235,-0.2688,0.7311,0.724,0.4265,0.7743,0.1759,RF_platt,1,0
APACHE-IV,0.6918,0.3483,0.1256,-4.9,0.0832,0.3822,-1.2343,0.5519,0.7641,0.3664,0.6502,0.2616,APACHE-IV,1,0
GP,0.7514,0.4389,0.1157,15.3,0.0119,1.104,0.1569,0.6667,0.7065,0.4204,0.7454,0.1609,GP,2,1
LR,0.7756,0.4587,0.172,-25.9,0.2272,0.9502,-1.4754,0.7095,0.7209,0.4519,0.662,0.444,LR,2,1
RF,0.7771,0.4663,0.1231,9.9,0.0991,1.3728,-0.3769,0.75,0.6684,0.4348,0.7275,0.2676,RF,2,1
XGB,0.7529,0.4219,0.1384,-1.3,0.113,0.7266,-1.0108,0.5833,0.7803,0.4306,0.6964,0.3685,XGB,2,1
LR_platt,0.7756,0.4587,0.1135,16.9,0.0183,1.05,0.1687,0.7095,0.7209,0.4519,0.7665,0.1457,LR_platt,2,1
RF_platt,0.7771,0.4663,0.1127,17.5,0.0147,0.9968,0.109,0.75,0.6684,0.4348,0.7697,0.133,RF_platt,2,1
APACHE-IV,0.7043,0.3555,0.1243,4.9,0.0515,0.4669,-0.929,0.6403,0.7024,0.392,0.6786,0.1817,APACHE-IV,2,1
GP,0.7496,0.4589,0.1181,15.9,0.0196,1.104,0.2007,0.6554,0.6961,0.416,0.7399,0.1577,GP,3,2
LR,0.7776,0.4687,0.1804,-28.6,0.2372,0.9508,-1.512,0.7455,0.6934,0.4581,0.6591,0.4442,LR,3,2
RF,0.7804,0.4733,0.1286,8.4,0.1109,1.4569,-0.3984,0.7297,0.6966,0.4528,0.725,0.3012,RF,3,2
XGB,0.756,0.4539,0.142,-1.2,0.1179,0.7731,-0.9853,0.7117,0.6659,0.4242,0.697,0.2917,XGB,3,2
LR_platt,0.7776,0.4687,0.1162,17.2,0.0213,1.0655,0.1678,0.7455,0.6934,0.4581,0.767,0.1448,LR_platt,3,2
RF_platt,0.7804,0.4733,0.1159,17.4,0.0141,1.0652,0.1312,0.7297,0.6966,0.4528,0.7733,0.1612,RF_platt,3,2
APACHE-IV,0.7089,0.3781,0.1266,5.9,0.0538,0.4135,-0.9596,0.6704,0.6779,0.3993,0.682,0.1719,APACHE-IV,3,2
GP,0.7605,0.4575,0.1201,15.9,0.0101,1.1382,0.2623,0.6144,0.777,0.4579,0.7554,0.1861,GP,4,3
LR,0.7784,0.487,0.1853,-29.7,0.2448,0.9648,-1.5428,0.627,0.7907,0.4768,0.656,0.5358,LR,4,3
RF,0.7913,0.501,0.1268,11.2,0.1064,1.5091,-0.3463,0.6458,0.7973,0.4934,0.7381,0.3491,RF,4,3
XGB,0.7611,0.4552,0.1467,-2.7,0.1341,0.8012,-1.0411,0.8182,0.5618,0.4176,0.694,0.2487,XGB,4,3
LR_platt,0.7784,0.487,0.1164,18.5,0.0121,1.0669,0.1451,0.627,0.7907,0.4768,0.7723,0.1897,LR_platt,4,3
RF_platt,0.7913,0.501,0.1146,19.8,0.0166,1.091,0.1824,0.6458,0.7973,0.4934,0.783,0.2065,RF_platt,4,3
