metric,model_A,model_B,n,median_diff,p_value_raw,p_value,sig_05,sig_bonferroni
auroc,APACHE-IV,GP,30,-0.04065,1.732216233144114e-06,0.0,Yes,Yes
auroc,APACHE-IV,LR,30,-0.06655,1.7333066441991056e-06,0.0,Yes,Yes
auroc,APACHE-IV,LR_platt,30,-0.06655,1.7333066441991056e-06,0.0,Yes,Yes
auroc,APACHE-IV,RF,30,-0.0729,1.732216233144114e-06,0.0,Yes,Yes
auroc,APACHE-IV,RF_platt,30,-0.0729,1.732216233144114e-06,0.0,Yes,Yes
auroc,APACHE-IV,XGB,30,-0.05805,1.862645149230957e-09,0.0,Yes,Yes
auroc,GP,LR,30,-0.0257,3.725290298461914e-09,0.0,Yes,Yes
auroc,GP,LR_platt,30,-0.0257,3.725290298461914e-09,0.0,Yes,Yes
auroc,GP,RF,30,-0.0337,1.7333066441991056e-06,0.0,Yes,Yes
auroc,GP,RF_platt,30,-0.0337,1.7333066441991056e-06,0.0,Yes,Yes
auroc,GP,XGB,30,-0.01365,2.2633465428971458e-05,0.0,Yes,Yes
auroc,LR,LR_platt,30,0.0,1.0,1.0,No,No
auroc,LR,RF,30,-0.0093,2.348795533180237e-06,0.0,Yes,Yes
auroc,LR,RF_platt,30,-0.0093,2.348795533180237e-06,0.0,Yes,Yes
auroc,LR,XGB,30,0.01125,5.789831838941586e-05,0.0001,Yes,Yes
auroc,LR_platt,RF,30,-0.0093,2.348795533180237e-06,0.0,Yes,Yes
auroc,LR_platt,RF_platt,30,-0.0093,2.348795533180237e-06,0.0,Yes,Yes
auroc,LR_platt,XGB,30,0.01125,5.789831838941586e-05,0.0001,Yes,Yes
auroc,RF,RF_platt,30,0.0,1.0,1.0,No,No
auroc,RF,XGB,30,0.0205,5.587935447692871e-09,0.0,Yes,Yes
auroc,RF_platt,XGB,30,0.0205,5.587935447692871e-09,0.0,Yes,Yes
auprc,APACHE-IV,GP,30,-0.05795,3.725290298461914e-09,0.0,Yes,Yes
auprc,APACHE-IV,LR,30,-0.07545,1.732216233144114e-06,0.0,Yes,Yes
auprc,APACHE-IV,LR_platt,30,-0.07545,1.732216233144114e-06,0.0,Yes,Yes
auprc,APACHE-IV,RF,30,-0.08975,1.7333066441991056e-06,0.0,Yes,Yes
auprc,APACHE-IV,RF_platt,30,-0.08975,1.7333066441991056e-06,0.0,Yes,Yes
auprc,APACHE-IV,XGB,30,-0.06675,1.7333066441991056e-06,0.0,Yes,Yes
auprc,GP,LR,30,-0.02885,1.7333066441991056e-06,0.0,Yes,Yes
auprc,GP,LR_platt,30,-0.02885,1.7333066441991056e-06,0.0,Yes,Yes
auprc,GP,RF,30,-0.035,1.7333066441991056e-06,0.0,Yes,Yes
auprc,GP,RF_platt,30,-0.035,1.7333066441991056e-06,0.0,Yes,Yes
auprc,GP,XGB,30,-0.0153,0.004338232800364494,0.0043,Yes,No
auprc,LR,LR_platt,30,0.0,1.0,1.0,No,No
auprc,LR,RF,30,-0.00465,0.017033193186459204,0.017,Yes,No
auprc,LR,RF_platt,30,-0.00465,0.017033193186459204,0.017,Yes,No
auprc,LR,XGB,30,0.01415,0.00023156571731570424,0.0002,Yes,Yes
auprc,LR_platt,RF,30,-0.00465,0.017033193186459204,0.017,Yes,No
auprc,LR_platt,RF_platt,30,-0.00465,0.017033193186459204,0.017,Yes,No
auprc,LR_platt,XGB,30,0.01415,0.00023156571731570424,0.0002,Yes,Yes
auprc,RF,RF_platt,30,0.0,1.0,1.0,No,No
auprc,RF,XGB,30,0.01845,1.6838312149047852e-06,0.0,Yes,Yes
auprc,RF_platt,XGB,30,0.01845,1.6838312149047852e-06,0.0,Yes,Yes
ece_10bin,APACHE-IV,GP,30,0.0427,1.862645149230957e-09,0.0,Yes,Yes
ece_10bin,APACHE-IV,LR,30,-0.18815,1.7333066441991056e-06,0.0,Yes,Yes
ece_10bin,APACHE-IV,LR_platt,30,0.04415,1.862645149230957e-09,0.0,Yes,Yes
ece_10bin,APACHE-IV,RF,30,-0.05315,1.862645149230957e-09,0.0,Yes,Yes
ece_10bin,APACHE-IV,RF_platt,30,0.04175,1.7333066441991056e-06,0.0,Yes,Yes
ece_10bin,APACHE-IV,XGB,30,-0.07455,1.862645149230957e-09,0.0,Yes,Yes
ece_10bin,GP,LR,30,-0.23515,1.862645149230957e-09,0.0,Yes,Yes
ece_10bin,GP,LR_platt,30,-0.00225,0.0936235323465671,0.0936,No,No
ece_10bin,GP,RF,30,-0.0962,1.862645149230957e-09,0.0,Yes,Yes
ece_10bin,GP,RF_platt,30,-0.0031,0.013663241639733315,0.0137,Yes,No
ece_10bin,GP,XGB,30,-0.1214,1.862645149230957e-09,0.0,Yes,Yes
ece_10bin,LR,LR_platt,30,0.2352,1.732216233144114e-06,0.0,Yes,Yes
ece_10bin,LR,RF,30,0.14,1.862645149230957e-09,0.0,Yes,Yes
ece_10bin,LR,RF_platt,30,0.23265,1.862645149230957e-09,0.0,Yes,Yes
ece_10bin,LR,XGB,30,0.1193,1.862645149230957e-09,0.0,Yes,Yes
ece_10bin,LR_platt,RF,30,-0.0976,1.7333066441991056e-06,0.0,Yes,Yes
ece_10bin,LR_platt,RF_platt,30,-0.0011,0.14701819644612493,0.147,No,No
ece_10bin,LR_platt,XGB,30,-0.12235,1.7289484360195754e-06,0.0,Yes,Yes
ece_10bin,RF,RF_platt,30,0.09405,1.862645149230957e-09,0.0,Yes,Yes
ece_10bin,RF,XGB,30,-0.02155,1.732216233144114e-06,0.0,Yes,Yes
ece_10bin,RF_platt,XGB,30,-0.1172,1.7333066441991056e-06,0.0,Yes,Yes
brier,APACHE-IV,GP,30,0.0123,1.862645149230957e-09,0.0,Yes,Yes
brier,APACHE-IV,LR,30,-0.05495,1.7300371292901245e-06,0.0,Yes,Yes
brier,APACHE-IV,LR_platt,30,0.0176,1.862645149230957e-09,0.0,Yes,Yes
brier,APACHE-IV,RF,30,0.00435,2.368094914021711e-05,0.0,Yes,Yes
brier,APACHE-IV,RF_platt,30,0.0184,1.7333066441991056e-06,0.0,Yes,Yes
brier,APACHE-IV,XGB,30,-0.0133,1.862645149230957e-09,0.0,Yes,Yes
brier,GP,LR,30,-0.0695,1.7333066441991056e-06,0.0,Yes,Yes
brier,GP,LR_platt,30,0.00355,1.9137405214875495e-06,0.0,Yes,Yes
brier,GP,RF,30,-0.0092,1.7333066441991056e-06,0.0,Yes,Yes
brier,GP,RF_platt,30,0.0042,1.7300371292901245e-06,0.0,Yes,Yes
brier,GP,XGB,30,-0.0254,1.862645149230957e-09,0.0,Yes,Yes
