model_A,model_B,auroc_A,auroc_B,diff,z_stat,p_value_raw,p_value,sig_05,sig_bonferroni
GP (c=24),LR,0.7459,0.7643,-0.0183,-1.591,0.11150315009216083,0.1115,No,No
GP (c=24),RF,0.7459,0.7876,-0.0416,-4.416,1.0042520798281274e-05,0.0,Yes,Yes
GP (c=24),XGB,0.7459,0.754,-0.0081,-0.636,0.5245246455215993,0.5245,No,No
GP (c=24),LR_platt,0.7459,0.7643,-0.0183,-1.591,0.11150315009216083,0.1115,No,No
GP (c=24),RF_platt,0.7459,0.7876,-0.0416,-4.416,1.0042520798281274e-05,0.0,Yes,Yes
GP (c=24),APACHE-IV,0.7459,0.7107,0.0353,2.063,0.03910594879049212,0.0391,Yes,No
LR,RF,0.7643,0.7876,-0.0233,-2.438,0.014754485051229116,0.0148,Yes,No
LR,XGB,0.7643,0.754,0.0102,0.912,0.3619561874829804,0.362,No,No
LR,LR_platt,0.7643,0.7643,0.0,0.0,1.0,1.0,No,No
LR,RF_platt,0.7643,0.7876,-0.0233,-2.438,0.014754485051229116,0.0148,Yes,No
LR,APACHE-IV,0.7643,0.7107,0.0536,3.465,0.0005301582922607739,0.0005,Yes,Yes
RF,XGB,0.7876,0.754,0.0335,3.491,0.00048040994853537633,0.0005,Yes,Yes
RF,LR_platt,0.7876,0.7643,0.0233,2.438,0.014754485051229116,0.0148,Yes,No
RF,RF_platt,0.7876,0.7876,0.0,0.0,1.0,1.0,No,No
RF,APACHE-IV,0.7876,0.7107,0.0769,4.928,8.295236251232296e-07,0.0,Yes,Yes
XGB,LR_platt,0.754,0.7643,-0.0102,-0.912,0.3619561874829804,0.362,No,No
XGB,RF_platt,0.754,0.7876,-0.0335,-3.491,0.00048040994853537633,0.0005,Yes,Yes
XGB,APACHE-IV,0.754,0.7107,0.0434,2.455,0.014077679107104668,0.0141,Yes,No
LR_platt,RF_platt,0.7643,0.7876,-0.0233,-2.438,0.014754485051229116,0.0148,Yes,No
LR_platt,APACHE-IV,0.7643,0.7107,0.0536,3.465,0.0005301582922607739,0.0005,Yes,Yes
RF_platt,APACHE-IV,0.7876,0.7107,0.0769,4.928,8.295236251232296e-07,0.0,Yes,Yes
