model_A,model_B,n,median_diff,statistic,p_value_raw,p_value,sig_05,sig_bonferroni
GP (c=24),LR,2062,-0.0659,593956.0,1.540876531067467e-67,0.0,Yes,Yes
GP (c=24),RF,2062,-0.01931,669826.0,5.1732216598110606e-48,0.0,Yes,Yes
GP (c=24),XGB,2062,-0.00924,753950.0,2.4299203195634022e-30,0.0,Yes,Yes
GP (c=24),LR_platt,2062,0.00181,913455.0,2.8860250993327034e-08,0.0,Yes,Yes
GP (c=24),RF_platt,2062,0.00252,906390.0,6.2660658755961304e-09,0.0,Yes,Yes
GP (c=24),APACHE-IV,1969,0.00061,950468.0,0.4451596452677745,0.4452,No,No
LR,RF,2062,0.03781,587461.0,2.279806953966369e-69,0.0,Yes,Yes
LR,XGB,2062,0.02687,648870.0,4.580663288647457e-53,0.0,Yes,Yes
LR,LR_platt,2062,0.07399,586783.0,1.46366560098e-69,0.0,Yes,Yes
LR,RF_platt,2062,0.07006,569632.0,1.6085843520647387e-74,0.0,Yes,Yes
LR,APACHE-IV,1969,0.05387,516318.0,3.3372096057040995e-72,0.0,Yes,Yes
RF,XGB,2062,0.00266,1022273.0,0.12755356016779398,0.1276,No,No
RF,LR_platt,2062,0.02302,614806.0,7.819451500295445e-62,0.0,Yes,Yes
RF,RF_platt,2062,0.02906,629399.0,5.411818511005367e-58,0.0,Yes,Yes
RF,APACHE-IV,1969,0.01657,654200.0,6.966777786927732e-36,0.0,Yes,Yes
XGB,LR_platt,2062,0.01147,687531.0,6.030603270931712e-44,0.0,Yes,Yes
XGB,RF_platt,2062,0.0135,654835.0,1.3354570139509736e-51,0.0,Yes,Yes
XGB,APACHE-IV,1969,0.00793,727879.0,9.212379676605291e-22,0.0,Yes,Yes
LR_platt,RF_platt,2062,0.00037,1035497.0,0.3007809885831173,0.3008,No,No
LR_platt,APACHE-IV,1969,-0.00072,865632.0,3.694283571141504e-05,0.0,Yes,Yes
RF_platt,APACHE-IV,1969,-0.00146,826952.0,1.524210344008058e-08,0.0,Yes,Yes
