cell,model,train_tertile,test_tertile,a,b,ece_raw,ece_insample,ece_cv,delta_ece_cv,auroc_cv,status
LL,GP (c=24),L,L,0.9119,-0.4568,0.0514,0.0244,0.0244,-0.027,0.7305,ok
LL,LR,L,L,0.6825,-1.9984,0.3283,0.0112,0.0217,-0.3066,0.7165,ok
LL,RF,L,L,1.1666,-0.7761,0.1404,0.0881,0.0295,-0.1109,0.7538,ok
LL,XGB,L,L,0.3456,-1.2584,0.0619,0.1024,0.0302,-0.0317,0.7175,ok
LL,LR_platt,L,L,1.4145,0.7031,0.0208,0.0112,0.0112,-0.0096,0.7165,ok
LL,RF_platt,L,L,7.4723,4.3544,0.0298,0.0881,0.0881,0.0583,0.7538,ok
LL,APACHE-IV,L,L,0.4999,-1.2104,0.0899,0.0257,0.0257,-0.0642,0.7088,ok
LM,GP (c=24),L,M,0.8848,-0.5716,0.0107,0.0417,0.0417,0.031,0.7528,ok
LM,LR,L,M,0.794,-2.0516,0.277,0.0445,0.0474,-0.2296,0.7111,ok
LM,RF,L,M,1.202,-0.7162,0.0817,0.1392,0.0433,-0.0384,0.7714,ok
LM,XGB,L,M,0.4625,-1.2214,0.0654,0.1536,0.0474,-0.018,0.7084,ok
LM,LR_platt,L,M,1.2893,0.5585,0.0496,0.0447,0.0447,-0.0049,0.7111,ok
LM,RF_platt,L,M,8.2498,4.549,0.0405,0.1393,0.1393,0.0988,0.7714,ok
LM,APACHE-IV,L,M,0.4802,-1.3185,0.0473,0.0544,0.0544,0.0071,0.722,ok
LH,GP (c=24),L,H,0.8848,-0.5716,0.047,0.0972,0.0972,0.0502,0.7457,ok
LH,LR,L,H,0.794,-2.0516,0.2718,0.0829,0.0896,-0.1822,0.7452,ok
LH,RF,L,H,1.202,-0.7162,0.0481,0.1949,0.0964,0.0483,0.7553,ok
LH,XGB,L,H,0.4625,-1.2214,0.0907,0.2148,0.1102,0.0195,0.6904,ok
LH,LR_platt,L,H,1.2893,0.5585,0.0935,0.0832,0.0832,-0.0103,0.7452,ok
LH,RF_platt,L,H,8.2498,4.549,0.0914,0.195,0.195,0.1036,0.7553,ok
LH,APACHE-IV,L,H,0.4802,-1.3185,0.047,0.1079,0.1079,0.0609,0.7052,ok
ML,GP (c=24),M,L,1.101,0.1277,0.0402,0.0363,0.0363,-0.0039,0.7048,ok
ML,LR,M,L,0.8451,-1.6046,0.2594,0.0317,0.0313,-0.2281,0.7142,ok
ML,RF,M,L,1.4178,-0.4801,0.1407,0.0942,0.0292,-0.1115,0.7474,ok
ML,XGB,M,L,0.5176,-0.9839,0.1108,0.1197,0.0482,-0.0626,0.7288,ok
