cell,model,train_tertile,test_tertile,n,n_pos,auroc,ece,brier,cal_slope
LL,GP (c=24),L,L,1205,123,0.7305,0.0514,0.084,1.0447
LL,LR,L,L,1205,123,0.7165,0.3283,0.2102,0.826
LL,RF,L,L,1205,123,0.7538,0.1404,0.101,1.5758
LL,XGB,L,L,1205,123,0.7175,0.0619,0.0945,0.5322
LL,LR_platt,L,L,1205,123,0.7165,0.0208,0.0837,1.3054
LL,RF_platt,L,L,1205,123,0.7538,0.0298,0.0808,1.2234
LL,APACHE-IV,L,L,1187,118,0.7088,0.0899,0.1024,0.557
LM,GP (c=24),L,M,3662,603,0.7528,0.0107,0.1167,1.0966
LM,LR,L,M,3662,603,0.7111,0.277,0.2093,0.543
LM,RF,L,M,3662,603,0.7714,0.0817,0.1224,1.5604
LM,XGB,L,M,3662,603,0.7084,0.0654,0.1318,0.5038
LM,LR_platt,L,M,3662,603,0.7111,0.0496,0.1237,0.7275
LM,RF_platt,L,M,3662,603,0.7714,0.0405,0.1185,1.1632
LM,APACHE-IV,L,M,3247,553,0.722,0.0473,0.1317,0.4954
LH,GP (c=24),L,H,3637,860,0.7457,0.047,0.1553,1.0298
LH,LR,L,H,3637,860,0.7452,0.2718,0.2299,0.7044
LH,RF,L,H,3637,860,0.7553,0.0481,0.154,1.4606
LH,XGB,L,H,3637,860,0.6904,0.0907,0.1723,0.4479
LH,LR_platt,L,H,3637,860,0.7452,0.0935,0.1646,0.9434
LH,RF_platt,L,H,3637,860,0.7553,0.0914,0.163,1.0875
LH,APACHE-IV,L,H,3254,762,0.7052,0.047,0.1617,0.3501
ML,GP (c=24),M,L,3865,422,0.7048,0.0402,0.0907,0.9482
ML,LR,M,L,3865,422,0.7142,0.2594,0.1795,0.6485
ML,RF,M,L,3865,422,0.7474,0.1407,0.1077,1.3072
ML,XGB,M,L,3865,422,0.7288,0.1108,0.1187,0.5571
ML,LR_platt,M,L,3865,422,0.7142,0.0332,0.0911,0.7988
ML,RF_platt,M,L,3865,422,0.7474,0.0288,0.0874,0.8871
ML,APACHE-IV,M,L,3764,413,0.6663,0.0806,0.1092,0.362
MM,GP (c=24),M,M,721,113,0.7164,0.014,0.1205,0.9672
MM,LR,M,M,721,113,0.7278,0.2539,0.1998,0.6606
MM,RF,M,M,721,113,0.7555,0.1202,0.1286,1.3049
MM,XGB,M,M,721,113,0.7191,0.1045,0.1383,0.5295
MM,LR_platt,M,M,721,113,0.7278,0.0346,0.1169,0.8284
MM,RF_platt,M,M,721,113,0.7555,0.0161,0.1133,0.9202
MM,APACHE-IV,M,M,699,109,0.7001,0.0527,0.1223,0.4672
MH,GP (c=24),M,H,3637,860,0.7457,0.047,0.1553,1.0298
MH,LR,M,H,3637,860,0.7471,0.1982,0.2003,0.7209
MH,RF,M,H,3637,860,0.7654,0.0705,0.1542,1.3804
MH,XGB,M,H,3637,860,0.7356,0.0749,0.1682,0.5495
MH,LR_platt,M,H,3637,860,0.7471,0.0564,0.1557,0.8887
MH,RF_platt,M,H,3637,860,0.7654,0.0464,0.1516,0.9357
MH,APACHE-IV,M,H,3254,762,0.7052,0.047,0.1617,0.3501
HL,GP (c=24),H,L,3865,422,0.7048,0.0402,0.0907,0.9482
HL,LR,H,L,3865,422,0.7307,0.2422,0.1631,0.7753
HL,RF,H,L,3865,422,0.7443,0.1717,0.1189,1.3387
HL,XGB,H,L,3865,422,0.72,0.1359,0.1252,0.5983
HL,LR_platt,H,L,3865,422,0.7307,0.0711,0.0945,0.9211
HL,RF_platt,H,L,3865,422,0.7443,0.0673,0.0929,0.9727
HL,APACHE-IV,H,L,3764,413,0.6663,0.0806,0.1092,0.362
HM,GP (c=24),H,M,3662,603,0.7528,0.0107,0.1167,1.0966
HM,LR,H,M,3662,603,0.7666,0.229,0.1777,0.8711
HM,RF,H,M,3662,603,0.7793,0.1459,0.136,1.5033
HM,XGB,H,M,3662,603,0.7543,0.112,0.142,0.6597
HM,LR_platt,H,M,3662,603,0.7666,0.0468,0.1167,1.0354
HM,RF_platt,H,M,3662,603,0.7793,0.0437,0.1158,1.0927
HM,APACHE-IV,H,M,3247,553,0.722,0.0473,0.1317,0.4954
HH,GP (c=24),H,H,724,158,0.7379,0.0466,0.1469,0.9677
HH,LR,H,H,724,158,0.7433,0.2145,0.2026,0.736
HH,RF,H,H,724,158,0.7617,0.1167,0.1561,1.407
HH,XGB,H,H,724,158,0.7064,0.1283,0.1685,0.5401
HH,LR_platt,H,H,724,158,0.7433,0.0373,0.1462,0.88
HH,RF_platt,H,H,724,158,0.7617,0.0316,0.1417,0.9918
HH,APACHE-IV,H,H,655,135,0.7148,0.0598,0.1526,0.4177
