feature,mean_abs_shap,rank
lactate_max,0.042691755789387865,1
bun,0.02944817403432477,2
age_numeric,0.028777093260692218,3
temperature,0.025053983880792267,4
pf_ratio,0.021726261350756355,5
map_mean,0.021422114907782498,6
platelets_min,0.020995387603038675,7
albumin,0.019497866359634373,8
heartrate,0.019152718998848427,9
potassium_max,0.018877041875417742,10
creatinine,0.0171337952989579,11
respiratoryrate,0.01693043013403516,12
vent,0.01568412644629958,13
gcs_total,0.014925591117985542,14
bilirubin,0.014592704063938276,15
pf_ratio_miss,0.012067185443369842,16
intubated,0.011909009586570866,17
meanbp,0.011772486513770416,18
ph_miss,0.011729168260104084,19
glucose,0.01154969657417279,20
ph,0.011313293094654361,21
wbc,0.010920466308973005,22
sodium,0.010673910799394516,23
hematocrit,0.010210553475586815,24
dx_Sepsis_renal_UTI_including_bladder,0.007263687048488562,25
vasopressor_24h,0.0071615236389754805,26
dx_Sepsis_pulmonary,0.005899391856932765,27
lactate_max_miss,0.005487501774350055,28
unit_Med-Surg ICU,0.0022956849468550415,29
gender_male,0.0016203456115197142,30
bilirubin_miss,0.0014585458811299146,31
unit_Cardiac ICU,0.001444576793425595,32
albumin_miss,0.0014328502210570332,33
dx_Sepsis_unknown,0.001084858153207259,34
dialysis,0.0009962472169817997,35
unit_MICU,0.0009958791905411181,36
temperature_miss,0.0009129210800319065,37
wbc_miss,0.0008893221432767513,38
dx_Sepsis_other,0.0007627443575794799,39
hematocrit_miss,0.0007570668744448656,40
dx_Sepsis_cutaneous_soft_tissue,0.0006806353982605944,41
platelets_min_miss,0.0006740278017010799,42
creatinine_miss,0.0006093713523171951,43
sodium_miss,0.0005239671923692562,44
bun_miss,0.0004980112646823506,45
glucose_miss,0.0004694869624254099,46
unit_SICU,0.00035861837480181974,47
unit_Neuro ICU,0.00026786468686873635,48
potassium_max_miss,0.0002467922561389688,49
gcs_total_miss,0.00011284062596446644,50
unit_CSICU,6.541531797810645e-05,51
unit_CTICU,5.287597710899473e-05,52
map_mean_miss,4.910599402055723e-05,53
dx_Sepsis_gynecologic,2.8150603149419893e-06,54
respiratoryrate_miss,0.0,55
meanbp_miss,0.0,56
heartrate_miss,0.0,57
gender_male_miss,0.0,58
