seed,complexity,val_auroc,val_ece,val_brier,val_brier_skill_pct,val_cal_slope,val_fitness,n_pareto,equation
0,24,0.7558,0.0154,0.1206,14.2,1.0688,0.7481,21,"log(((vent + (intubated + lactate_max)) / (map_mean / age_numeric)) / sqrt((min(lactate_max * platelets_min, pf_ratio) / sqrt(bilirubin)) * (hematocrit / bun)))"
1,23,0.7489,0.0128,0.1219,13.3,0.9558,0.7426,17,"(min(-0.90050644, -3.9050333 - (((age_numeric * -1.7178771) - bun) / min(map_mean, platelets_min))) + (lactate_max * 0.18513054)) + ((vent - 0.91168135) * pf_ratio_miss)"
2,18,0.7468,0.0153,0.1207,14.1,0.9964,0.7391,21,(age_numeric / map_mean) + log((sqrt(bun * sqrt(bilirubin)) / pf_ratio) * (lactate_max + (intubated + vent)))
3,23,0.7632,0.0303,0.1193,15.2,1.049,0.7481,21,"((lactate_max - log(pf_ratio)) - (min(platelets_min, map_mean) / (age_numeric / log(pf_ratio / bilirubin)))) / (exp(max(vent, intubated)) + log(bun))"
4,21,0.7494,0.0128,0.1218,13.3,0.949,0.743,19,"max(intubated, vent) + log((0.10935638 / (map_mean / age_numeric)) * ((lactate_max + (heartrate / platelets_min)) / sqrt(pf_ratio / bun)))"
5,23,0.7476,0.0146,0.1201,14.6,1.0064,0.7403,20,"(lactate_max * 0.17544416) + (min(vent - pf_ratio_miss, -0.35224095) - (min((min(platelets_min, map_mean) - bilirubin) * 2.1626244, pf_ratio) / (bun + age_numeric)))"
6,21,0.7553,0.0117,0.1191,15.3,0.9655,0.7495,21,"(min(platelets_min, map_mean) * -0.02150958) + (max(log(vent + lactate_max), intubated) - sqrt(pf_ratio * ((gcs_total / age_numeric) / bun)))"
7,23,0.7536,0.015,0.1199,14.7,0.9921,0.746,21,"((sqrt(lactate_max) + -6.1483736) / (max(vent, 0.81388426) + (age_numeric / pf_ratio))) + log((sqrt(sqrt(bilirubin) * bun) * heartrate) / map_mean)"
8,23,0.7524,0.011,0.1198,14.8,0.9196,0.7469,22,"(sqrt((bun / pf_ratio) / 0.2872079) + (max(vent, sqrt(lactate_max) - pf_ratio_miss) - 3.4392462)) + ((age_numeric - min(platelets_min, map_mean)) * 0.022369627)"
9,24,0.7334,0.0154,0.1245,11.5,0.8991,0.7257,20,"sqrt(bilirubin + sqrt(heartrate)) + ((sqrt(bun + (age_numeric * ((lactate_max * 0.25207472) + max(vent, intubated + 0.45204124)))) * 0.3139139) + -8.647005)"
10,23,0.7485,0.0071,0.1218,13.3,0.9502,0.745,21,"max(vent, intubated) + (((sqrt(pf_ratio) + min(map_mean, platelets_min)) * 0.04119866) * (log((sqrt(age_numeric) + lactate_max) + sqrt(bun)) + -3.3988512))"
11,24,0.7563,0.0193,0.121,13.9,0.9135,0.7467,22,"(log((bilirubin + lactate_max) / (map_mean * sqrt(pf_ratio))) + log(bun + age_numeric)) - (pf_ratio_miss * ((min(platelets_min, map_mean) / age_numeric) - vent))"
12,23,0.7559,0.0085,0.1199,14.7,0.9311,0.7517,21,"(log(sqrt(max(intubated + 0.24165915, vent) / (pf_ratio / bun)) * (bilirubin + lactate_max)) + -0.45074028) - (min(platelets_min, map_mean) / age_numeric)"
13,23,0.7573,0.0209,0.1186,15.6,0.8784,0.7469,21,"(((heartrate / pf_ratio) + sqrt((bilirubin + sqrt(bun)) + lactate_max)) + (max(vent, intubated) + -4.7119)) - (min(platelets_min, map_mean) / age_numeric)"
14,24,0.764,0.0211,0.1185,15.7,1.0763,0.7535,21,"(bun / pf_ratio) - (((sqrt(lactate_max) + max(vent, intubated)) * -0.8085511) + ((min(platelets_min, map_mean) / age_numeric) - ((temperature - bilirubin) * -0.06636052)))"
15,23,0.7301,0.0128,0.1234,12.3,0.954,0.7238,21,((log(age_numeric) - ph) / 0.94289315) + (((((intubated + vent) * log(respiratoryrate)) + lactate_max) + sqrt(sqrt(bilirubin) * bun)) * 0.16569899)
16,23,0.7406,0.0157,0.1239,11.9,0.8692,0.7327,18,"((max(vent, intubated) + ((sqrt(sqrt((bilirubin * heartrate) * bun)) + lactate_max) * 0.17560685)) + (age_numeric / (map_mean * 0.58417577))) + -5.462818"
17,24,0.7504,0.0162,0.12,14.7,1.0451,0.7423,22,"(sqrt(sqrt(((bilirubin / 3.9589555) + max(intubated, vent)) * bun) + lactate_max) - log(map_mean + pf_ratio)) + ((respiratoryrate + age_numeric) / map_mean)"
18,24,0.7525,0.0203,0.1184,15.8,1.0356,0.7423,21,"((lactate_max * 0.15796818) - (min(1.845752, pf_ratio / heartrate) + log(sqrt(gcs_total / bun)))) - (min(platelets_min, map_mean) / (age_numeric + exp(bilirubin)))"
19,21,0.7548,0.0193,0.1187,15.6,0.9952,0.7452,20,"((((pf_ratio * (gcs_total / age_numeric)) + min(map_mean, platelets_min)) * -0.09944953) + lactate_max) / (log(bun) + exp(max(vent, intubated)))"
20,24,0.7516,0.0128,0.1207,14.1,0.9406,0.7452,22,"log(((age_numeric * (((vent + (sqrt(respiratoryrate * bilirubin) * (bun / pf_ratio))) * lactate_max) + exp(intubated))) * 0.047796078) / min(platelets_min, map_mean))"
21,24,0.7556,0.015,0.1215,13.5,0.9605,0.7482,22,"(log((age_numeric / map_mean) * (bilirubin + sqrt(bun))) + -5.0466537) + (max(intubated, vent) + log((heartrate / min(pf_ratio, platelets_min)) + lactate_max))"
22,20,0.7495,0.0078,0.1197,14.8,0.9994,0.7456,21,"(sqrt(intubated + (lactate_max + vent)) + -1.9123492) - (min(pf_ratio, min(map_mean, platelets_min) * 2.1643174) / (age_numeric + bun))"
23,19,0.7537,0.0171,0.1199,14.7,0.9833,0.7451,19,"log((lactate_max + vent) / (min(map_mean, platelets_min) / (age_numeric * (sqrt(bun) / min(pf_ratio * 0.43379113, map_mean)))))"
24,21,0.7505,0.0152,0.1188,15.5,1.0359,0.7429,22,"(sqrt(vent + lactate_max) - sqrt(gcs_total / bun)) + (-1.6357819 - (min(min(pf_ratio - age_numeric, map_mean), platelets_min) / age_numeric))"
25,23,0.7592,0.012,0.1204,14.3,0.9294,0.7532,21,"(log(age_numeric * (((lactate_max + bilirubin) / map_mean) * sqrt(heartrate * (bun / pf_ratio)))) - (temperature * 0.12578408)) + max(vent, intubated)"
26,23,0.7541,0.019,0.1197,14.8,0.9875,0.7446,22,"log((age_numeric * ((lactate_max + (vent + intubated)) / min(map_mean, pf_ratio / 2.4697828))) * (sqrt(bun) / (min(map_mean, platelets_min) + gcs_total)))"
27,24,0.7474,0.0118,0.1209,14.0,1.0214,0.7414,22,"log((age_numeric * (bilirubin + (sqrt(bun) * max(exp(intubated), lactate_max - (pf_ratio_miss - vent))))) / ((min(map_mean, platelets_min) + gcs_total) * 52.614178))"
28,21,0.7572,0.021,0.12,14.6,1.1121,0.7467,17,"(sqrt(lactate_max + (vent + sqrt(bilirubin))) - 2.1696587) - (min(pf_ratio_miss, gcs_total / bun) + (min(map_mean, platelets_min) / age_numeric))"
29,22,0.755,0.021,0.1211,13.8,1.0716,0.7445,22,"log((bun + (exp(max(intubated, vent)) * age_numeric)) / ((map_mean / 0.04241771) / (sqrt(heartrate / pf_ratio) * (bilirubin + lactate_max))))"
